Intervalo de Datas: 01/04/2020 00:00:00 a 30/04/2020 23:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4930 - Av. João de Oliveira Remião defronte nro 702 - C/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4BP,Faixa 2 direita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:00:00 - 16:59:59,865.62,790.29,917.11,665.61,435.98,918.79,996.75,965.12,"1,055.94",506.48,761.64,579.32,881.95,815.76,921.62,903.78,958.63,744.46,523.15,915.81,589.64,975.93,908.46,991.23,752.12,488.98,999.93,952.96,898.79,"1,072.09","24,753.94"
17:00:00 - 17:59:59,939.92,922.45,973.08,695.11,501.80,"1,129.78","1,123.59","1,020.74","1,096.59",565.13,842.32,587.14,"1,044.95","1,099.93","1,136.26","1,127.72","1,148.91",798.30,537.81,"1,039.46",692.46,"1,088.28","1,135.09","1,197.11",710.47,530.63,"1,153.27","1,135.98","1,196.77","1,219.92","28,390.97"
18:00:00 - 18:59:59,"1,045.26","1,005.91","1,065.22",702.77,573.27,"1,085.10","1,063.90","1,065.06","1,113.54",621.14,796.30,671.46,"1,146.11","1,118.75","1,090.08","1,111.08","1,104.39",801.61,647.81,"1,153.44",630.80,"1,180.74","1,256.27","1,221.91",832.95,662.31,"1,081.23","1,187.90","1,205.77","1,336.56","29,578.64"
19:00:00 - 19:59:59,761.78,749.62,805.42,707.60,603.63,775.11,826.92,822.95,969.26,620.63,767.11,641.96,732.44,711.28,610.05,730.79,917.60,671.76,644.12,862.45,609.46,846.14,875.44,878.28,810.64,602.97,659.83,825.45,848.11,997.08,"22,885.88"
20:00:00 - 20:59:59,489.79,460.63,567.63,539.13,445.30,449.29,531.63,591.79,675.94,453.65,548.98,483.31,487.66,473.31,486.13,540.99,585.29,593.13,416.30,559.65,448.47,506.29,473.78,634.96,579.63,448.80,500.44,506.81,500.48,756.14,"15,735.33"
21:00:00 - 21:59:59,320.15,288.14,362.82,356.81,246.63,229.12,361.97,357.47,481.81,280.32,373.97,280.16,304.32,268.66,321.47,336.80,412.12,390.46,296.65,324.65,262.14,313.46,370.99,429.32,403.15,288.65,318.64,345.82,323.63,522.47,"10,172.77"
22:00:00 - 22:59:59,248.49,220.49,283.98,257.49,166.79,214.96,250.82,246.82,295.64,234.49,285.99,229.83,247.66,230.32,291.64,268.12,333.99,306.65,229.66,287.82,233.16,286.99,284.32,267.28,339.31,261.66,284.32,277.65,294.48,366.32,"8,027.14"
23:00:00 - 23:59:59,202.48,201.49,201.32,210.15,112.30,202.33,187.16,193.99,229.98,195.82,245.66,162.66,170.32,169.66,202.49,185.50,227.49,235.48,157.49,201.16,231.65,185.32,215.32,242.66,261.48,138.46,192.15,194.99,225.15,272.80,"6,054.91"
Total,"11,225.75","10,642.09","11,534.53","9,733.19","6,899.94","11,191.73","11,893.63","12,103.74","12,883.70","8,193.60","10,536.33","8,263.48","11,424.28","11,279.65","11,424.53","11,743.67","12,347.27","10,716.87","7,687.63","12,207.48","8,535.42","12,116.15","12,312.88","12,931.47","11,033.47","7,689.37","11,389.06","12,111.88","12,362.00","13,524.53","327,939.32"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4930 - Av. João de Oliveira Remião nro 702 - B/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4EP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4FP,Faixa 2 direita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total
00:00:00 - 00:59:59,110.97,117.64,106.31,104.47,171.13,87.15,131.30,125.79,113.62,129.63,128.46,175.62,78.99,136.81,112.65,103.95,114.80,129.79,168.29,102.65,136.63,124.65,110.48,140.14,137.95,187.45,85.80,117.46,123.29,110.63,"3,724.50"
01:00:00 - 01:59:59,75.32,63.65,83.82,83.48,110.14,40.49,69.48,64.65,64.99,91.98,75.98,91.98,51.16,74.83,65.00,68.66,85.82,76.64,106.82,65.98,85.82,66.65,47.16,78.47,106.46,134.13,53.64,54.15,72.15,55.48,"2,264.98"
