Intervalo de Datas: 01/05/2020 00:00:00 a 18/05/2020 23:59:59,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4930 - Av. João de Oliveira Remião defronte nro 702 - C/B,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,
LOM4AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,
LOM4BP,Faixa 2 direita,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4930 - Av. João de Oliveira Remião nro 702 - B/C,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,
LOM4EP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,
LOM4FP,Faixa 2 direita,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Total
00:00:00 - 00:59:59,160.61,144.11,186.79,76.81,108.15,135.98,122.30,144.79,192.62,211.79,109.80,123.29,135.48,138.64,131.79,175.15,188.93,115.48,"2,602.51"
01:00:00 - 01:59:59,105.31,105.47,107.82,50.47,73.65,75.32,71.66,69.15,103.31,165.47,70.83,51.33,68.15,62.49,63.16,108.64,132.97,54.47,"1,539.67"
02:00:00 - 02:59:59,62.31,63.64,65.32,29.49,44.33,35.65,42.15,39.49,72.15,75.97,47.81,52.16,55.15,29.65,40.16,62.64,94.98,33.15,946.20
03:00:00 - 03:59:59,65.66,50.14,45.83,30.49,29.00,32.00,44.16,33.82,64.98,64.98,44.65,29.33,38.66,35.83,39.16,52.33,67.82,35.66,804.50
04:00:00 - 04:59:59,70.15,52.32,55.98,70.46,65.97,70.48,57.46,77.14,77.65,56.82,72.14,77.98,55.82,63.15,69.98,61.15,84.31,58.48,"1,197.44"
05:00:00 - 05:59:59,137.62,147.60,106.79,250.41,235.46,248.57,257.94,256.08,171.95,123.97,265.91,265.80,250.96,248.11,244.43,177.77,151.29,259.26,"3,799.92"
06:00:00 - 06:59:59,428.64,501.10,348.38,916.50,854.19,866.20,883.71,892.34,546.98,361.22,899.16,946.81,882.71,871.83,900.98,544.15,349.23,638.41,"12,632.54"
07:00:00 - 07:59:59,410.18,588.95,272.38,"1,337.35","1,335.23","1,327.38","1,335.18","1,335.06",750.03,311.36,"1,266.58","1,316.69","1,273.72","1,325.18","1,345.93",693.08,289.22,"1,386.85","17,900.35"
08:00:00 - 08:59:59,434.69,682.93,234.76,"1,030.41","1,065.21","1,105.21","1,101.37","1,174.74",896.08,390.41,"1,039.26","1,015.84","1,043.78","1,183.24","1,123.68",798.90,295.44,"1,167.18","15,783.13"
09:00:00 - 09:59:59,497.41,689.98,337.59,823.97,895.93,850.76,887.26,939.07,810.44,648.68,896.08,827.68,857.66,864.93,961.92,717.63,354.08,877.74,"13,738.81"
