Intervalo de Datas: 01/05/2020 00:00:00 a 18/05/2020 23:59:59,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4930 - Av. João de Oliveira Remião defronte nro 702 - C/B,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,
LOM4AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,
LOM4BP,Faixa 2 direita,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
10:00:00 - 10:59:59,"1,319.75","1,474.68",932.47,"1,438.32","1,454.86","1,339.26","1,214.57","1,508.79","1,703.08","2,005.73","1,473.22","1,431.76","1,464.10","1,511.56","1,665.09","1,487.27","1,134.77","1,280.73","25,840.01"
11:00:00 - 11:59:59,"1,388.45","1,699.69","1,111.89","1,672.82","1,528.59","1,295.68","1,331.15","1,649.94","1,979.95","2,398.51","1,633.97","1,569.48","1,658.00","1,696.18","1,710.34","1,785.91","1,244.81",208.11,"27,563.47"
12:00:00 - 12:59:59,"1,280.05","1,789.99",973.42,"1,621.57","1,614.84","1,390.57","1,463.93","1,797.92","2,108.04","2,009.50","1,664.57","1,560.70","1,558.21","1,658.44","1,805.68","1,980.45","1,145.47",0.00,"27,423.35"
13:00:00 - 13:59:59,"1,261.90","1,522.06",908.24,"1,528.39","1,437.85","1,738.19","1,813.80","1,822.89","1,993.48","1,257.65","1,672.47","1,595.09","1,583.04","1,640.44","1,737.00","1,868.51","1,059.53",0.00,"26,440.53"
14:00:00 - 14:59:59,"1,300.50","1,574.12",930.69,"1,835.85","1,401.26","1,758.67","1,850.93","1,997.51","1,892.12","1,036.01","1,881.44","1,873.83","1,923.25","1,935.75","2,015.01","1,852.47",995.35,0.00,"28,054.76"
15:00:00 - 15:59:59,"1,350.09","1,679.11","1,050.71","2,122.52","1,664.83","1,995.93","2,162.88","2,138.75","2,164.26","1,388.02","2,177.26","2,160.28","2,249.10","2,252.85","2,301.26","1,979.07","1,143.00",0.00,"31,979.92"
16:00:00 - 16:59:59,"1,483.65","1,751.46","1,141.69","2,645.46","2,274.41","2,459.45","2,700.21","2,863.06","2,160.86","1,624.40","2,621.68","2,538.14","2,670.47","2,733.94","2,886.17","1,923.02","1,203.85",0.00,"37,681.92"
17:00:00 - 17:59:59,"1,552.79","1,754.60","1,262.64","3,032.33","2,725.76","2,834.94","2,979.83","3,244.67","2,212.04","1,821.88","3,060.76","2,925.82","3,114.01","3,036.13","3,359.58","2,011.24","1,368.13",0.00,"42,297.15"
18:00:00 - 18:59:59,"1,674.49","1,750.88","1,501.10","3,103.09","2,652.28","3,050.87","3,141.86","3,338.61","2,182.46","1,918.81","3,093.61","3,061.33","3,200.28","3,426.79","3,371.84","1,993.22","1,527.13",0.00,"43,988.65"
19:00:00 - 19:59:59,"1,631.26","1,703.57","1,503.95","2,101.48","2,977.62","2,512.60","2,398.37","2,762.14","2,240.44","1,926.96","2,058.45","2,006.61","2,157.45","2,286.58","2,666.11","1,970.37","1,679.06",0.00,"36,583.02"
20:00:00 - 20:59:59,"1,060.98","1,204.25","1,016.82","1,208.49","1,236.52","1,309.08","1,367.85","1,779.81","1,491.60","1,321.13","1,237.55","1,121.33","1,239.20","1,269.89","1,607.10","1,285.65","1,066.46",0.00,"21,823.71"
21:00:00 - 21:59:59,807.23,736.66,664.07,805.46,779.06,798.96,865.93,"1,121.18","1,071.56",882.69,742.53,715.86,793.16,798.56,939.52,908.77,778.04,0.00,"14,209.24"
22:00:00 - 22:59:59,597.59,680.22,501.69,586.74,601.76,693.84,655.76,840.96,842.86,666.05,572.34,569.79,594.40,625.21,717.95,685.81,550.96,0.00,"10,983.93"
23:00:00 - 23:59:59,468.11,564.29,373.87,440.05,448.58,456.22,487.53,655.99,648.08,453.29,458.69,412.55,447.97,477.98,636.30,637.85,398.35,0.00,"8,465.70"
Total,"21,705.21","24,451.98","17,301.20","29,557.72","28,235.06","29,252.80","29,905.77","33,120.23","30,139.62","25,176.26","30,123.31","28,996.36","30,132.60","31,132.27","33,244.72","27,569.36","19,226.42","7,265.10","476,535.99"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4941 - Av. Bento Gonçalves 4021 - C/B,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,
BEN5BP,Faixa 2 central,,,,,,,,,,,,,,,,,,
BEN5CP,Faixa 3 direita,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Total
00:00:00 - 00:59:59,173.40,159.92,189.60,115.30,128.47,134.26,138.93,143.75,202.39,222.91,144.28,136.95,124.10,171.57,149.58,191.37,190.86,149.41,"2,867.05"
01:00:00 - 01:59:59,114.79,92.79,111.47,67.98,56.30,64.31,75.79,83.80,112.95,134.79,74.65,43.48,60.80,69.13,56.13,115.63,136.13,64.65,"1,535.57"
02:00:00 - 02:59:59,79.81,70.98,77.15,38.64,49.49,53.31,55.63,51.82,75.31,85.31,49.99,31.49,30.00,46.49,32.16,72.47,77.66,41.32,"1,019.03"
03:00:00 - 03:59:59,40.98,51.33,55.31,22.00,27.99,35.65,28.33,33.98,54.49,65.65,29.32,38.32,28.50,24.66,23.16,40.83,71.65,25.66,697.81
04:00:00 - 04:59:59,47.33,37.99,45.83,19.16,34.82,29.00,35.82,26.83,64.82,62.83,20.50,24.99,35.33,29.66,30.49,43.48,60.66,24.83,674.37
05:00:00 - 05:59:59,75.48,67.98,73.14,72.48,73.65,81.99,74.99,82.64,79.99,68.83,88.99,77.82,74.82,74.48,83.97,63.48,72.65,86.47,"1,373.85"
06:00:00 - 06:59:59,163.13,176.62,139.13,226.46,247.94,236.93,230.44,243.97,185.46,123.47,244.28,243.63,217.79,227.62,209.27,198.78,154.29,234.25,"3,703.46"
07:00:00 - 07:59:59,347.39,346.39,283.40,554.04,564.84,510.04,535.72,556.86,408.53,328.89,574.68,551.78,562.56,567.23,581.02,390.38,306.86,594.52,"8,565.13"
08:00:00 - 08:59:59,360.60,440.38,242.96,600.20,616.71,597.22,626.22,681.06,492.89,281.60,639.55,639.93,627.57,655.90,673.84,483.40,275.95,690.83,"9,626.81"
09:00:00 - 09:59:59,410.28,614.56,253.96,683.04,658.55,717.71,684.02,753.37,703.34,479.60,670.73,704.29,664.88,714.71,690.88,614.38,271.28,629.34,"10,918.92"
10:00:00 - 10:59:59,478.75,732.65,373.93,761.98,792.68,819.80,789.62,864.81,884.65,803.36,769.34,720.38,761.88,777.32,810.66,766.70,404.10,761.86,"13,074.47"
11:00:00 - 11:59:59,551.69,812.97,414.42,812.42,870.82,828.44,818.11,921.58,"1,015.91",975.18,824.48,785.90,795.87,830.38,852.91,828.08,487.37,782.14,"14,208.67"
12:00:00 - 12:59:59,515.51,746.29,385.23,776.56,755.27,744.57,770.71,925.20,865.84,743.50,758.40,717.37,696.10,770.72,841.04,844.76,443.54,760.08,"13,060.69"
13:00:00 - 13:59:59,501.67,650.79,349.41,784.84,838.88,789.54,736.58,924.16,853.73,521.51,829.07,756.84,728.92,812.74,867.19,797.92,437.76,825.88,"13,007.43"
14:00:00 - 14:59:59,563.17,674.61,398.23,923.69,890.65,916.34,896.72,"1,037.18",896.43,453.36,951.14,877.79,936.75,962.69,"1,056.34",842.39,418.39,951.73,"14,647.60"
15:00:00 - 15:59:59,571.51,702.25,406.57,"1,068.96",980.36,"1,049.12","1,120.84","1,147.99",937.58,572.19,"1,090.92",994.07,"1,060.41","1,073.68","1,161.46",898.92,494.70,"1,004.97","16,336.50"
16:00:00 - 16:59:59,624.86,779.81,483.56,"1,165.62","1,015.76","1,204.25","1,214.41","1,370.04",967.43,664.01,"1,210.23","1,036.89","1,127.35","1,239.39","1,322.38",856.96,542.35,"1,234.96","18,060.26"
17:00:00 - 17:59:59,618.38,775.34,506.72,"1,257.42","1,141.14","1,248.17","1,284.83","1,369.02",888.95,742.67,"1,287.81","1,260.51","1,317.93","1,358.51","1,446.00",864.41,544.58,"1,350.51","19,262.90"
18:00:00 - 18:59:59,661.01,687.33,615.08,"1,063.71",731.94,"1,080.36","1,223.37","1,152.14",900.33,785.87,"1,125.97","1,068.97","1,170.45","1,169.91","1,203.04",819.32,660.36,"1,188.92","17,308.08"
19:00:00 - 19:59:59,632.69,652.33,600.33,752.77,706.68,770.03,839.36,948.67,899.50,779.72,779.81,788.86,846.45,794.55,882.01,730.81,612.85,775.41,"13,792.83"
20:00:00 - 20:59:59,403.70,455.51,418.56,461.82,489.79,523.98,511.65,610.97,608.00,523.88,482.24,457.53,466.97,484.83,590.11,494.83,431.04,486.99,"8,902.40"
21:00:00 - 21:59:59,312.25,285.08,254.89,284.90,287.17,318.03,319.35,413.86,404.05,363.25,284.93,238.04,301.37,300.57,378.02,373.85,322.90,302.73,"5,745.24"
22:00:00 - 22:59:59,249.06,258.71,204.26,249.72,249.80,240.51,259.01,352.85,306.51,294.92,222.09,201.06,248.02,230.04,282.37,280.64,272.91,243.21,"4,645.69"
23:00:00 - 23:59:59,201.88,226.75,156.45,191.45,169.91,165.42,182.08,257.17,268.56,208.92,162.75,142.08,190.61,220.40,259.41,256.04,143.74,172.44,"3,576.06"
Total,"8,699.32","10,499.36","7,039.59","12,955.16","12,379.61","13,158.98","13,452.53","14,953.72","13,077.64","10,286.22","13,316.15","12,538.97","13,075.43","13,607.18","14,483.44","11,869.83","7,834.58","13,383.11","216,610.82"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Equipamento: EPTC-4942 - Av. Edvaldo Pereira Paiva km 3,5 C/B",,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,
BER1AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,
BER1BP,Faixa 2 central,,,,,,,,,,,,,,,,,,
BER1CP,Faixa 3 direita,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Total
00:00:00 - 00:59:59,109.45,85.98,69.15,77.48,61.49,65.64,85.64,82.15,110.98,95.32,86.49,69.98,72.32,79.97,99.80,113.48,133.80,81.82,"1,580.94"
01:00:00 - 01:59:59,59.82,51.99,61.65,35.48,35.16,47.66,47.66,37.49,57.15,50.66,43.99,37.00,26.66,33.82,51.81,81.32,73.49,41.83,874.64
02:00:00 - 02:59:59,41.65,34.64,39.16,19.99,25.33,23.83,15.33,30.83,35.83,38.66,25.49,18.00,18.83,27.33,21.65,42.65,57.66,21.33,538.19
03:00:00 - 03:59:59,34.83,27.83,26.99,14.83,13.33,11.33,19.82,14.83,23.66,28.00,18.00,20.99,16.99,14.83,17.33,25.32,35.99,15.66,380.56
04:00:00 - 04:59:59,33.16,23.83,17.33,28.00,19.83,18.50,25.50,15.33,23.32,15.00,18.50,16.83,25.00,17.83,22.50,28.65,22.50,18.00,389.61
05:00:00 - 05:59:59,39.83,35.49,53.33,59.98,57.82,55.16,43.82,54.49,40.33,35.49,66.82,58.32,37.82,69.65,55.83,52.14,38.66,75.32,930.30
06:00:00 - 06:59:59,140.96,151.28,111.13,305.40,318.27,268.24,294.10,296.60,196.11,87.80,334.06,295.79,289.43,300.75,294.94,199.44,121.80,354.07,"4,360.17"
07:00:00 - 07:59:59,47.31,2.50,10.99,676.66,639.14,701.03,737.15,684.69,21.16,15.49,770.65,694.10,733.23,783.99,752.51,37.32,10.33,823.29,"8,141.54"
08:00:00 - 08:59:59,2.65,0.99,0.66,791.31,779.29,821.62,889.26,810.27,0.00,0.66,988.70,895.52,891.01,997.14,923.13,0.00,0.00,990.43,"9,782.64"
09:00:00 - 09:59:59,2.99,0.66,2.16,815.38,740.01,743.69,803.39,773.90,2.99,4.33,807.17,783.25,793.39,870.68,900.96,4.32,1.33,720.19,"8,770.79"
10:00:00 - 10:59:59,0.99,2.33,5.82,724.83,738.88,732.17,765.00,786.67,2.99,2.33,770.66,736.09,736.15,896.98,878.16,1.99,1.32,742.67,"8,526.03"
11:00:00 - 11:59:59,0.33,0.99,0.00,843.80,785.68,846.97,796.95,808.13,0.33,0.33,931.78,836.21,815.50,904.57,876.28,0.00,0.00,913.11,"9,360.96"
12:00:00 - 12:59:59,0.99,3.65,0.66,837.80,818.34,840.59,893.26,947.23,0.99,1.98,921.56,871.02,891.98,934.58,"1,084.56",1.98,0.66,"1,014.92","10,066.75"
13:00:00 - 13:59:59,0.00,1.33,0.33,857.46,891.16,874.27,925.92,953.32,0.33,0.33,969.10,786.40,893.35,947.90,"1,033.75",0.00,0.33,978.39,"10,113.67"
14:00:00 - 14:59:59,0.33,3.33,1.00,"1,018.90",941.75,997.53,"1,031.54","1,042.56",0.00,0.33,"1,076.68",978.16,"1,037.48","1,193.47","1,221.97",1.66,1.66,"1,105.40","11,653.75"
15:00:00 - 15:59:59,3.00,0.33,1.33,"1,085.65","1,138.23","1,129.55","1,114.19","1,231.34",0.00,3.33,"1,241.99","1,108.14","1,160.78","1,287.32","1,350.76",0.33,5.98,"1,240.48","13,102.73"
16:00:00 - 16:59:59,2.32,5.49,2.66,"1,246.89","1,223.41","1,323.34","1,418.66","1,471.83",0.33,4.33,"1,461.70","1,233.85","1,365.74","1,512.80","1,606.84",1.66,2.99,"1,474.55","15,359.39"
17:00:00 - 17:59:59,2.99,1.66,2.65,"1,647.10","1,673.63","1,802.77","1,800.61","1,959.31",2.99,1.32,"1,946.40","1,748.91","1,919.85","2,078.56","2,097.35",0.00,3.99,"2,053.76","20,743.85"
18:00:00 - 18:59:59,0.00,1.00,8.33,"1,556.15","1,586.30","1,550.82","1,713.54","1,637.37",0.66,1.00,"1,787.71","1,721.42","1,878.37","1,894.75","1,852.45",1.65,0.00,"1,916.07","19,107.59"
19:00:00 - 19:59:59,1.00,3.50,3.33,808.15,774.84,840.46,888.68,917.17,0.00,1.00,872.68,844.73,924.19,998.78,"1,083.28",2.00,0.33,967.28,"9,931.40"
20:00:00 - 20:59:59,252.78,254.92,216.14,412.57,435.07,449.91,471.73,559.05,4.65,108.31,466.10,434.44,484.71,571.90,610.52,330.23,2.66,520.37,"6,586.06"
21:00:00 - 21:59:59,249.78,227.27,309.27,276.95,245.11,245.27,256.61,332.41,1.32,348.75,253.46,263.92,278.28,319.42,412.09,276.73,234.46,292.59,"4,823.69"
22:00:00 - 22:59:59,162.29,144.79,198.97,185.14,156.78,145.11,177.10,225.11,5.99,249.62,181.14,172.12,236.60,212.92,224.11,213.39,225.30,192.96,"3,309.44"
23:00:00 - 23:59:59,108.64,115.30,122.46,97.66,99.98,121.49,158.78,149.29,78.99,156.48,106.15,111.98,140.15,142.57,159.62,154.62,165.97,128.97,"2,319.10"
Total,"1,298.09","1,181.08","1,265.50","14,423.56","14,198.83","14,656.95","15,374.24","15,821.37",611.10,"1,250.85","16,146.98","14,737.17","15,667.81","17,092.51","17,632.20","1,570.88","1,141.21","16,683.46","180,753.79"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Equipamento: EPTC-4943 - Av. Edvaldo Pereira Paiva km 3,5 B/C",,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,
BER1EP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,
BER1FP,Faixa 2 central,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Total
00:00:00 - 00:59:59,66.09,46.33,56.33,30.66,23.33,31.99,31.33,46.50,55.99,96.32,53.16,24.00,26.00,32.31,35.99,69.83,63.66,24.66,814.48
01:00:00 - 01:59:59,28.33,27.33,49.49,29.33,11.83,14.33,16.00,22.99,39.33,45.16,22.50,15.66,18.66,15.66,18.66,33.99,48.16,28.16,485.57
02:00:00 - 02:59:59,25.00,29.33,24.99,14.83,6.33,14.00,9.83,18.33,11.66,28.50,19.00,13.50,10.83,10.00,13.83,29.66,32.50,16.33,328.45
03:00:00 - 03:59:59,18.00,14.33,26.16,19.50,11.33,8.00,16.50,14.00,25.00,25.16,12.00,5.00,6.00,18.50,16.00,16.33,17.00,13.83,282.64
04:00:00 - 04:59:59,25.99,20.83,16.00,26.83,22.00,26.33,28.00,17.50,29.50,19.50,38.83,22.49,19.33,28.50,23.66,23.48,18.00,32.83,439.60
05:00:00 - 05:59:59,56.82,49.64,28.66,99.65,100.66,81.66,91.15,102.15,73.82,32.49,100.81,95.83,84.16,100.48,81.32,63.33,42.32,118.80,"1,403.75"
06:00:00 - 06:59:59,180.95,165.14,113.13,511.06,472.09,455.75,513.28,503.77,214.46,100.81,520.91,485.12,487.62,481.93,470.92,199.94,122.47,507.90,"6,507.25"
07:00:00 - 07:59:59,251.79,242.95,131.65,"1,264.60","1,205.66","1,177.62","1,195.34","1,178.32",356.79,118.80,"1,282.48","1,220.59","1,272.55","1,293.15","1,210.81",350.79,152.46,"1,325.97","15,232.32"
08:00:00 - 08:59:59,295.96,333.12,115.15,"1,243.18","1,226.41","1,268.52","1,272.85","1,222.68",470.77,185.96,"1,278.16","1,282.95","1,314.89","1,282.67","1,274.14",447.07,143.29,"1,350.48","16,008.25"
09:00:00 - 09:59:59,370.76,411.10,179.46,946.89,952.70,964.22,936.19,991.55,591.55,332.46,983.73,987.10,985.88,"1,025.57","1,009.35",540.40,240.96,"1,063.55","13,513.42"
10:00:00 - 10:59:59,476.08,496.26,308.27,745.55,812.40,802.55,805.76,807.23,679.40,554.23,725.06,744.28,761.60,853.56,859.04,632.74,384.41,855.39,"12,303.81"
11:00:00 - 11:59:59,481.44,551.06,430.08,627.38,673.71,694.05,708.91,751.05,672.53,654.91,661.70,627.11,645.23,742.38,771.55,651.72,476.43,682.87,"11,504.11"
12:00:00 - 12:59:59,427.76,503.72,378.26,669.88,688.89,704.40,746.89,725.56,578.60,486.92,661.56,655.10,685.92,730.54,728.19,572.24,459.75,741.52,"11,145.70"
13:00:00 - 13:59:59,346.62,430.25,264.45,849.88,843.54,848.41,883.89,836.53,557.09,350.95,804.87,725.44,792.76,904.16,913.33,524.07,401.43,926.71,"12,204.38"
14:00:00 - 14:59:59,442.25,514.06,390.90,771.72,777.72,811.69,835.73,904.49,625.35,393.26,784.22,699.24,811.40,832.39,910.88,551.24,475.89,863.34,"12,395.77"
15:00:00 - 15:59:59,534.55,626.22,615.37,780.03,768.07,752.50,790.71,963.82,711.86,612.58,677.36,604.26,692.75,859.53,928.31,771.67,761.22,729.54,"13,180.35"
16:00:00 - 16:59:59,718.22,790.05,848.19,686.35,706.04,790.53,746.16,920.67,914.33,922.86,772.32,695.09,745.21,864.12,"1,000.34",885.67,997.51,845.68,"14,849.34"
17:00:00 - 17:59:59,871.66,807.42,"1,144.36",716.53,723.56,800.20,831.01,915.86,"1,019.39","1,113.85",740.71,618.95,690.41,885.87,908.00,"1,044.04","1,271.81",820.32,"15,923.95"
18:00:00 - 18:59:59,761.22,584.90,758.07,532.75,529.27,574.53,660.73,769.21,740.39,925.41,573.25,482.59,586.92,655.73,772.23,701.57,908.54,579.40,"12,096.71"
19:00:00 - 19:59:59,352.46,300.76,352.96,308.60,310.77,333.12,359.13,484.44,404.77,461.45,287.13,256.98,355.77,376.25,477.73,333.80,411.28,327.27,"6,494.67"
20:00:00 - 20:59:59,192.13,202.96,211.14,184.46,196.12,227.14,251.96,272.78,261.64,257.30,197.13,162.45,220.80,224.97,291.63,258.47,240.96,201.80,"4,055.84"
21:00:00 - 21:59:59,145.81,114.30,122.31,109.65,118.15,135.65,144.13,188.13,145.80,172.97,107.32,88.64,127.14,126.62,172.96,148.97,161.48,115.99,"2,446.02"
22:00:00 - 22:59:59,123.15,107.32,94.49,86.15,90.96,78.64,107.31,118.96,125.64,128.82,70.48,74.32,103.48,108.65,138.95,117.63,101.49,93.97,"1,870.41"
23:00:00 - 23:59:59,76.32,83.65,60.14,60.33,57.83,77.99,78.81,92.98,96.64,87.49,45.66,59.83,73.31,72.64,88.65,84.64,69.32,52.49,"1,318.72"
Total,"7,269.36","7,453.03","6,720.01","11,315.79","11,329.37","11,673.82","12,061.60","12,869.50","9,402.30","8,108.16","11,420.35","10,646.52","11,518.62","12,526.18","13,116.47","9,053.29","8,002.34","12,318.80","186,805.51"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4944 - Av. da Cavalhada DF a 30m do nro 4530 - C/B,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,
CAV1AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,
CAV1BP,Faixa 2 central,,,,,,,,,,,,,,,,,,
CAV1CP,Faixa 3 direita,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Total
00:00:00 - 00:59:59,201.95,179.31,206.48,94.83,122.32,131.65,140.31,156.15,192.98,230.32,146.99,121.32,138.66,141.16,166.49,224.98,238.98,132.66,"2,967.54"
01:00:00 - 01:59:59,120.32,110.48,140.82,69.16,101.00,78.99,74.00,97.33,147.99,165.98,91.50,66.83,77.00,110.33,91.99,145.16,182.82,78.50,"1,950.20"
02:00:00 - 02:59:59,76.82,84.99,92.33,35.33,58.49,46.83,47.50,59.32,95.66,100.16,57.33,46.49,39.00,53.83,52.33,80.83,128.99,46.33,"1,202.56"
03:00:00 - 03:59:59,72.82,72.82,70.83,32.50,29.33,37.00,29.16,39.33,67.66,84.99,51.66,29.16,30.33,50.16,45.33,74.00,91.49,39.83,948.40
04:00:00 - 04:59:59,73.83,59.50,70.66,47.66,45.83,48.99,49.33,43.49,80.50,68.33,50.83,48.00,32.33,60.16,53.50,68.33,96.00,41.83,"1,039.10"
05:00:00 - 05:59:59,87.33,106.33,95.83,107.82,133.00,141.83,138.83,134.16,99.49,109.83,128.83,133.00,124.33,142.50,135.00,112.50,100.00,142.33,"2,172.94"
06:00:00 - 06:59:59,167.83,218.49,170.33,342.99,354.49,300.81,354.48,375.32,247.99,178.00,357.66,345.16,323.49,343.49,334.16,226.66,163.83,359.99,"5,165.17"
07:00:00 - 07:59:59,332.63,444.64,290.31,638.45,650.46,680.12,675.44,654.11,476.63,291.81,661.46,662.31,671.13,655.95,650.12,427.97,285.81,668.61,"9,817.96"
08:00:00 - 08:59:59,394.15,597.98,269.97,806.14,782.46,833.46,816.64,850.13,664.80,379.98,800.79,821.80,779.79,849.63,876.81,632.64,272.32,877.30,"12,306.79"
09:00:00 - 09:59:59,527.30,757.64,353.82,934.81,878.62,924.46,994.47,973.46,906.59,591.13,884.27,908.15,840.65,975.29,943.47,766.63,371.81,928.27,"14,460.84"
10:00:00 - 10:59:59,644.47,906.61,560.12,"1,042.25","1,049.28","1,075.28","1,131.29","1,176.29","1,025.74","1,034.42",981.92,992.98,"1,020.97","1,040.25","1,096.10","1,018.96",638.31,"1,032.29","17,467.53"
11:00:00 - 11:59:59,735.46,"1,094.11",704.43,"1,125.73","1,086.93","1,097.08","1,193.40","1,264.89","1,302.55","1,428.73","1,148.90","1,015.80","1,073.30","1,159.42","1,203.93","1,249.09",839.62,"1,066.76","19,790.13"
12:00:00 - 12:59:59,747.10,"1,007.90",693.96,"1,070.36","1,040.73","1,203.08","1,148.92","1,237.22","1,253.55","1,281.06","1,064.74",999.77,"1,062.78","1,135.75","1,191.89","1,243.39",790.61,"1,048.40","19,221.21"
13:00:00 - 13:59:59,674.78,901.28,621.77,"1,007.69","1,053.07","1,109.07","1,119.21","1,189.23","1,176.70",786.61,999.25,960.63,"1,090.11","1,044.91","1,173.69","1,063.07",727.61,"1,095.42","17,794.10"
14:00:00 - 14:59:59,719.95,982.09,559.78,"1,182.86","1,214.39","1,280.79","1,223.40","1,344.08","1,297.89",665.11,"1,222.38","1,076.79","1,235.78","1,207.24","1,316.05","1,241.88",743.96,"1,175.54","19,689.96"
15:00:00 - 15:59:59,875.42,"1,174.40",761.42,"1,292.20","1,383.05","1,423.03","1,365.21","1,547.04","1,469.55",884.42,"1,386.39","1,280.28","1,350.56","1,477.18","1,439.37","1,327.75",907.74,"1,443.58","22,788.59"
16:00:00 - 16:59:59,903.92,"1,119.89",869.62,"1,410.99","1,507.74","1,400.39","1,530.35","1,464.72","1,500.06","1,061.96","1,445.40","1,357.95","1,413.11","1,420.03","1,468.54","1,323.08",968.57,"1,409.56","23,575.88"
17:00:00 - 17:59:59,949.27,"1,114.56",877.10,"1,637.01","1,605.36","1,660.66","1,593.53","1,648.69","1,502.35","1,168.24","1,614.52","1,533.77","1,669.76","1,628.02","1,670.01","1,246.72",976.43,"1,586.33","25,682.33"
18:00:00 - 18:59:59,941.76,"1,086.88",916.58,"1,673.27","1,708.20","1,749.33","1,769.14","1,833.45","1,414.39","1,198.08","1,610.66","1,648.07","1,763.03","1,782.02","1,820.17","1,248.09",970.59,"1,695.44","26,829.15"
19:00:00 - 19:59:59,929.90,953.77,876.75,"1,146.22","1,121.41","1,301.76","1,315.38","1,498.39","1,181.21","1,049.75","1,115.40","1,062.10","1,191.75","1,265.23","1,349.36","1,078.41",886.40,"1,238.04","20,561.23"
20:00:00 - 20:59:59,626.28,696.94,613.62,714.41,720.96,817.41,806.93,"1,022.21",925.41,836.27,679.09,683.10,792.42,822.41,939.71,790.93,656.94,725.57,"13,870.61"
21:00:00 - 21:59:59,461.60,491.27,447.79,423.12,439.13,450.28,489.26,599.61,655.10,490.79,425.62,409.95,461.44,517.13,553.44,514.46,435.94,459.79,"8,725.72"
22:00:00 - 22:59:59,337.63,369.15,293.97,301.62,306.45,311.62,328.95,457.29,423.46,359.14,276.14,305.65,375.62,379.80,398.62,402.47,346.48,328.81,"6,302.87"
23:00:00 - 23:59:59,238.45,274.64,207.64,192.15,231.64,237.64,199.48,301.64,335.97,271.14,214.98,205.81,218.16,252.63,272.98,293.79,225.48,211.31,"4,385.53"
Total,"11,840.97","14,805.67","10,765.93","17,329.57","17,624.34","18,341.56","18,534.61","19,967.55","18,444.22","14,716.25","17,416.71","16,714.87","17,775.50","18,514.52","19,243.06","16,801.79","12,046.73","17,832.49","298,716.34"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4945 - Av. da Cavalhada a 30m do nro 4414 - B/C,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,
CAV1EP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,
CAV1FP,Faixa 2 central,,,,,,,,,,,,,,,,,,
CAV1GP,Faixa 3 direita,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Total
00:00:00 - 00:59:59,201.76,178.62,195.81,122.30,96.32,96.29,123.82,124.48,206.13,254.94,141.13,109.98,113.99,130.64,122.82,185.64,244.30,111.15,"2,760.12"
