Intervalo de Datas: 01/02/2020 00:00:00 a 29/02/2020 23:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4930 - Av. João de Oliveira Remião defronte nro 702 - C/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4BP,Faixa 2 direita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07:00:00 - 07:59:59,"1,775.01",784.88,"3,132.99","2,735.02","3,274.03","3,169.96","3,074.29","1,910.70",765.26,"3,281.59","3,083.06","2,917.27","3,195.23","3,193.00","1,947.18",938.69,"3,150.24","2,833.40","2,853.67","2,698.93","2,745.41","1,623.45",671.26,"1,257.42",884.05,"2,392.49","2,924.43","2,870.35","1,996.52","68,079.78"
08:00:00 - 08:59:59,"1,748.36",814.05,"2,598.43","2,824.29","2,671.27","2,740.59","2,805.98","1,945.17",735.60,"2,686.03","2,680.21","2,916.07","2,678.78","2,604.01","1,956.23",832.73,"2,787.42","2,872.50","2,778.71","2,793.81","2,654.83","1,463.29",624.44,"1,037.35",674.91,"1,813.54","2,685.33","2,734.73","2,065.86","62,224.52"
09:00:00 - 09:59:59,"1,710.74",940.19,"2,263.07","2,239.33","2,264.18","2,283.70","2,248.52","1,842.92",846.45,"2,355.31","2,376.68","2,254.32","2,272.04","2,302.85","3,570.30","1,013.37","2,260.82","2,249.87","2,325.00","2,258.85","2,101.61","1,398.98",726.92,"1,050.06",868.60,"1,683.30","1,605.17","2,269.55","1,959.20","55,541.90"
10:00:00 - 10:59:59,"1,679.95","1,027.05","1,990.24","1,826.11","1,900.21","1,869.72","1,910.76","1,713.64","1,067.58","1,934.78","1,897.75","1,821.72","1,795.09","1,768.93","1,710.47","1,090.18","1,997.05","1,839.15","1,842.06","1,844.88","1,882.07","1,471.64",870.09,"1,079.42","1,001.08","1,646.67",923.47,"1,925.23","1,743.97","47,070.96"
11:00:00 - 11:59:59,"1,529.68","1,230.88","1,748.31","1,734.60","1,698.77","1,604.60","1,729.08","1,617.92","1,341.25","1,779.99","1,719.42","1,699.90","1,750.11","1,751.60","1,737.13","1,299.65","1,800.25","1,660.83","1,750.97","1,745.61","1,757.60","1,451.82",991.42,"1,103.55","1,127.52","2,014.11","1,615.08","1,752.10","1,708.32","46,452.07"
12:00:00 - 12:59:59,"1,409.86","1,239.20","1,727.59","1,762.64","1,743.46","1,821.44","1,721.80","1,597.68","1,386.71","1,892.64","1,815.46","1,787.08","1,769.30","1,724.12","1,610.49","1,337.01","1,861.13","1,959.66","1,895.61","1,951.97","1,898.14","1,378.34",913.24,"1,060.76","1,126.73","2,079.86","1,993.28","1,920.30","1,567.97","47,953.47"
13:00:00 - 13:59:59,"1,456.88","1,107.71","2,029.93","2,122.56","2,025.68","2,067.74","1,990.39","1,543.33","1,255.74","2,145.55","2,052.01","2,041.90","2,148.89","2,098.03","1,604.67","1,189.74","2,195.76","2,219.78","2,223.94","2,265.51","2,160.94","1,319.67",894.58,"1,130.53","1,080.89","2,111.27","2,352.58","2,247.07","1,564.31","52,647.58"
14:00:00 - 14:59:59,"1,469.05","1,144.27","1,889.82","1,884.47","1,873.13","1,869.25","1,932.28","1,601.67","1,344.70","1,992.16","1,993.66","1,964.66","1,911.97","1,920.83","1,724.44","1,274.20","1,989.44","1,922.50","1,913.10","1,994.48","1,854.35","1,340.88",933.11,"1,181.37","1,283.56","1,861.52","1,956.77","1,902.49","1,633.79","49,557.92"
15:00:00 - 15:59:59,"1,594.55","1,404.73","1,845.82","1,750.32","1,749.47","1,686.49","1,831.94","1,698.67","1,582.52","1,789.61","1,859.64","1,797.64","1,725.62","1,814.30","1,720.48","1,475.73","1,845.47","1,839.18","1,746.28","1,801.79","1,875.15","1,387.65","1,078.88","1,235.03","1,392.01","1,731.36","1,700.47","1,849.13","1,734.64","48,544.57"
16:00:00 - 16:59:59,"1,676.02","1,658.55","1,730.51","1,763.93","1,826.00","1,678.35","1,862.79","1,677.98","1,781.38","1,754.80","1,786.30","1,798.45","1,738.11","1,795.30","1,620.34","1,678.33","1,839.40","1,852.20","1,738.68","1,835.97","1,855.28","1,343.21","1,236.39","1,351.03","1,553.53","1,707.52","1,737.99","1,838.30","1,920.14","49,636.78"
17:00:00 - 17:59:59,"1,772.62","1,868.44","1,896.75","1,903.44","1,906.93","1,836.08","1,873.44","1,903.80","2,002.98","1,966.59","2,099.09","1,951.57","1,958.58","2,098.77","1,565.51","1,930.45","1,982.85","2,016.48","1,972.05","2,079.13","1,952.60","1,342.18","1,439.03","1,478.98","1,671.63","1,945.81","1,961.91","2,074.06","2,016.56","54,468.31"
18:00:00 - 18:59:59,"1,903.56","2,153.59","1,912.43","1,749.37","1,792.40","1,923.72","1,739.87","1,988.64","2,239.57","1,882.07","1,886.38","1,853.18","1,840.68","1,904.78","1,750.58","2,345.22","1,733.42","1,759.54","1,921.55","1,911.43","1,784.05","1,572.30","1,683.82","1,609.74","1,740.80","2,135.38","1,847.79","2,022.91","2,141.75","54,730.52"
19:00:00 - 19:59:59,"1,847.37","1,932.49","1,512.86","1,483.71","1,590.47","1,541.38","1,654.36","1,990.54","1,939.03","1,513.05","1,399.87","1,513.35","1,601.38","1,653.53","1,888.52","2,049.45","1,495.73","1,419.39","1,486.83","1,621.86","1,555.35","1,494.67","1,408.34","1,466.56","1,345.21","1,637.19","1,414.70","1,684.39","2,055.85","47,197.43"
20:00:00 - 20:59:59,"1,590.05","1,604.74","1,140.38","1,245.25","1,333.04","1,394.83","1,530.08","1,647.41","1,688.70","1,294.55","1,185.56","1,240.86","1,295.56","1,482.40","1,742.70","1,777.54","1,222.44","1,165.94","1,304.41","1,386.56","1,425.25","1,179.25","1,093.58","1,050.76","1,157.28","1,146.23","1,126.25","1,521.72","1,688.67","39,661.99"
21:00:00 - 21:59:59,"1,217.89","1,316.22",999.74,978.72,"1,069.07","1,076.56","1,335.02","1,394.10","1,320.89","1,003.90",969.11,"1,010.25","1,021.24","1,218.74","1,405.22","1,443.73",926.90,938.94,963.42,"1,085.41","1,241.57",918.43,841.10,897.96,897.30,892.11,881.62,"1,164.04","1,274.59","31,703.79"
22:00:00 - 22:59:59,949.26,978.58,716.43,768.26,871.44,871.41,"1,044.28","1,022.29","1,053.42",770.09,761.09,746.44,829.77,979.08,"1,009.61","1,115.74",770.30,736.13,779.61,887.10,959.09,721.11,667.95,718.29,826.31,641.45,754.10,950.25,988.11,"24,886.99"
23:00:00 - 23:59:59,757.97,750.11,526.30,558.13,620.47,645.96,827.10,793.79,775.30,548.29,528.29,606.79,620.79,793.29,841.95,750.28,510.64,558.48,595.62,629.13,700.12,584.31,463.80,603.96,614.97,510.14,515.97,734.27,812.98,"18,779.20"
Total,"29,699.56","25,196.06","34,756.10","33,553.99","34,771.35","34,643.20","36,031.52","31,932.02","26,514.86","35,641.96","34,527.84","33,651.45","34,706.32","35,837.87","33,122.27","26,955.23","35,267.42","34,579.87","34,764.28","35,626.07","35,503.87","25,383.99","18,931.41","21,986.22","21,641.15","32,545.48","32,640.30","36,068.20","32,428.53","918,908.39"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4939 - Av. Bento Gonçalves 6992 - B/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN3EP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN3FP,Faixa 2 central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN3GP,Faixa 3 direita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Total
00:00:00 - 00:59:59,633.78,656.93,614.62,398.44,428.63,425.12,549.23,677.57,672.93,577.28,379.45,400.63,403.95,458.62,639.77,715.94,461.79,361.43,378.47,443.12,495.62,545.13,450.29,311.30,411.62,451.80,366.30,363.81,580.62,"14,254.19"
01:00:00 - 01:59:59,402.45,469.77,283.95,186.13,205.64,239.30,301.64,454.58,469.96,311.80,177.80,196.48,219.30,253.64,406.62,511.79,240.48,201.99,186.32,214.64,279.64,309.47,299.14,204.15,243.13,292.32,188.49,188.65,369.62,"8,308.89"
02:00:00 - 02:59:59,254.79,340.12,191.63,115.15,116.81,133.97,176.48,320.57,317.46,146.15,114.99,114.31,112.13,125.98,277.46,344.79,143.66,110.66,106.83,114.99,170.32,209.15,222.81,147.15,172.98,181.64,130.82,107.65,250.98,"5,272.43"
03:00:00 - 03:59:59,186.98,257.98,134.64,109.65,101.16,92.33,120.15,262.78,259.14,144.49,104.49,110.49,112.65,102.16,188.48,265.80,147.48,93.49,111.32,122.83,113.66,180.49,173.31,106.99,122.32,117.16,80.65,93.66,209.15,"4,225.88"
04:00:00 - 04:59:59,250.96,266.32,240.96,168.45,205.47,207.13,230.14,275.98,263.78,226.81,153.80,208.63,184.14,188.29,271.49,261.64,211.47,183.12,172.46,173.29,214.30,289.98,163.31,164.32,119.48,217.64,161.48,185.46,254.14,"6,114.44"
05:00:00 - 05:59:59,516.57,405.24,749.22,672.21,690.52,690.85,725.54,567.73,444.63,737.89,675.39,676.71,684.20,730.17,572.72,443.25,790.23,685.69,690.55,730.02,715.55,558.59,314.43,420.39,305.94,715.72,683.69,680.03,509.08,"17,782.75"
06:00:00 - 06:59:59,"1,421.81",957.16,"2,681.87","2,204.63","2,750.33","2,721.16","2,740.19","1,588.37","1,106.87","2,882.21","2,740.68","2,030.39","2,792.10","2,804.67","1,457.70",996.13,"2,791.13","2,779.58","2,833.46","2,729.51","2,807.22","1,368.25",864.81,"1,380.78","1,089.63","2,613.42","2,777.67","2,750.20","1,436.51","62,098.44"
07:00:00 - 07:59:59,"1,745.55",808.05,"2,779.16","2,728.58","2,894.26","2,843.44","2,814.62","1,911.10",773.90,"2,904.88","2,790.88","2,807.21","2,832.60","2,905.85","1,927.40",942.33,"2,912.47","2,763.85","2,788.35","2,711.98","2,782.74","1,589.10",679.68,"1,251.32",890.02,"2,381.82","2,793.55","2,791.38","1,962.98","64,709.05"
08:00:00 - 08:59:59,"1,737.44",793.17,"2,753.10","2,882.00","2,777.27","2,791.73","2,733.59","1,939.10",739.43,"2,683.87","2,613.72","2,958.60","2,690.88","2,696.55","1,912.65",835.34,"2,822.97","2,877.93","2,827.33","2,802.74","2,757.78","1,462.02",628.91,"1,036.32",660.07,"1,822.60","2,720.81","2,780.21","2,043.76","62,781.89"
09:00:00 - 09:59:59,"1,749.68",968.50,"2,264.11","2,251.68","2,284.78","2,297.70","2,309.77","1,840.50",871.59,"2,361.57","2,382.89","2,293.85","2,288.93","2,055.38","3,588.12","1,017.89","2,264.64","2,276.17","2,357.47","2,260.15","2,137.09","1,399.55",730.03,"1,045.19",839.38,"1,701.25","1,759.05","2,247.32","1,954.82","55,799.05"
10:00:00 - 10:59:59,"1,687.70","1,069.84","2,016.35","1,837.85","1,934.65","1,897.82","1,944.86","1,783.33","1,063.22","2,015.40","1,943.48","1,854.34","1,833.46","1,541.94","1,737.72","1,122.97","2,046.68","1,853.32","1,879.49","1,872.67","1,942.11","1,478.30",880.74,"1,114.68","1,039.51","1,683.07","1,509.42","1,936.97","1,639.87","48,161.76"
11:00:00 - 11:59:59,"1,574.71","1,235.62","1,819.19","1,817.84","1,745.32","1,697.28","1,813.52","1,659.51","1,381.20","1,831.43","1,780.66","1,748.85","1,811.51","1,789.02","1,766.00","1,322.13","1,852.69","1,724.41","1,819.06","1,809.74","1,802.30","1,487.37","1,001.21","1,114.67","1,136.52","2,027.81","1,987.36","1,827.31","1,711.72","48,095.96"
12:00:00 - 12:59:59,"1,439.54","1,249.79","1,740.02","1,807.23","1,774.19","1,859.69","1,768.19","1,618.99","1,405.70","1,954.87","1,882.36","1,822.53","1,767.66","1,737.20","1,624.39","1,372.97","1,918.07","1,956.76","1,931.66","1,991.84","1,943.21","1,406.28",934.52,"1,079.40","1,133.34","2,086.46","1,995.52","2,010.39","1,599.39","48,812.16"
13:00:00 - 13:59:59,"1,495.43","1,113.18","2,060.38","2,169.71","1,862.78","2,120.96","2,012.65","1,568.41","1,276.83","2,191.89","2,089.45","2,098.55","2,240.43","2,138.29","1,624.10","1,173.67","2,258.46","2,255.71","2,296.45","2,318.92","2,188.80","1,338.93",874.54,"1,119.16","1,086.66","2,142.99","2,364.26","2,282.98","1,550.24","53,314.81"
14:00:00 - 14:59:59,"1,490.93","1,155.39","1,944.65","1,906.50","1,573.53","1,878.44","2,015.51","1,621.24","1,330.95","2,003.38","2,031.84","2,059.35","1,920.55","1,936.20","1,741.91","1,261.99","2,017.84","1,937.82","1,949.06","2,037.85","1,903.57","1,344.13",947.91,"1,172.12","1,283.82","1,890.93","2,008.14","1,940.87","1,649.53","49,955.95"
15:00:00 - 15:59:59,"1,605.65","1,421.97","1,833.87","1,798.07","1,599.90","1,757.54","1,880.88","1,689.77","1,586.69","1,829.74","1,901.05","1,853.23","1,786.87","1,879.39","1,684.38","1,491.46","1,868.08","1,884.12","1,845.04","1,866.39","1,912.88","1,411.12","1,086.64","1,260.80","1,415.98","1,754.78","1,747.93","1,928.34","1,744.07","49,326.63"
16:00:00 - 16:59:59,"1,673.27","1,671.95","1,791.55","1,805.17","1,869.55","1,766.75","1,907.21","1,712.73","1,769.66","1,822.07","1,875.50","1,858.00","1,817.43","1,871.57","1,635.33","1,632.11","1,931.31","1,898.47","1,793.05","1,828.13","1,849.49","1,336.16","1,221.33","1,337.66","1,564.12","1,739.25","1,796.40","1,870.39","1,957.89","50,603.50"
17:00:00 - 17:59:59,"1,805.21","1,856.76","1,939.19","1,956.95","1,945.67","1,932.63","1,913.98","1,928.88","2,019.29","2,004.97","2,132.17","1,998.46","1,963.79","2,113.11","1,578.74","1,953.09","2,030.08","2,041.20","2,053.80","2,109.89","2,001.14","1,360.28","1,461.75","1,501.43","1,699.41","2,003.47","2,033.82","2,127.44","2,026.38","55,492.98"
18:00:00 - 18:59:59,"1,923.12","2,140.96","1,951.44","1,742.10","1,818.47","1,966.08","1,769.29","1,974.13","2,257.99","1,947.24","1,935.42","1,880.93","1,911.04","1,923.51","1,757.47","2,322.74","1,793.16","1,814.60","1,971.26","1,939.28","1,834.41","1,569.48","1,676.20","1,640.70","1,733.71","2,199.27","1,878.17","2,054.05","2,155.98","55,482.20"
19:00:00 - 19:59:59,"1,850.28","1,975.39","1,519.98","1,511.93","1,601.05","1,543.43","1,636.59","2,004.18","1,936.65","1,527.11","1,439.81","1,473.59","1,611.90","1,673.29","1,923.09","2,087.55","1,513.63","1,470.18","1,475.25","1,630.80","1,569.38","1,516.29","1,390.63","1,499.67","1,350.03","1,665.55","1,428.93","1,712.49","2,063.61","47,602.26"
20:00:00 - 20:59:59,"1,611.97","1,641.34","1,204.84","1,270.33","1,382.17","1,415.99","1,519.65","1,720.35","1,698.99","1,332.50","1,227.18","1,272.83","1,326.16","1,495.50","1,757.64","1,788.62","1,244.05","1,136.57","1,320.17","1,400.17","1,437.46","1,187.20","1,117.23","1,056.72","1,196.71","1,162.51","1,171.01","1,519.68","1,691.28","40,306.82"
21:00:00 - 21:59:59,"1,230.54","1,345.34",995.03,989.67,"1,087.99","1,122.00","1,370.95","1,439.24","1,403.37","1,042.20",987.38,"1,042.19","1,070.16","1,262.52","1,410.69","1,497.18",960.50,949.50,986.33,"1,123.52","1,271.65",924.73,896.72,920.72,930.60,933.04,898.22,"1,180.72","1,311.67","32,584.37"
22:00:00 - 22:59:59,997.37,"1,010.20",763.04,812.90,916.06,930.49,"1,111.69","1,051.22","1,097.20",797.39,807.08,795.23,874.20,"1,017.53","1,064.07","1,130.70",814.55,803.38,828.56,933.89,984.72,770.73,694.73,767.44,838.59,681.08,821.19,"1,006.31","1,010.88","26,132.42"
23:00:00 - 23:59:59,780.24,786.89,555.94,587.60,646.77,702.58,858.57,836.07,797.60,584.25,559.29,635.09,667.92,834.26,886.93,786.90,536.78,599.46,641.74,655.56,751.61,617.27,473.92,640.26,655.95,534.28,560.76,779.21,856.89,"19,810.59"
Total,"30,065.97","25,597.86","34,828.73","33,730.77","34,212.97","35,034.41","36,224.89","32,446.33","26,945.03","35,861.39","34,726.76","34,190.47","34,923.96","35,534.64","33,434.87","27,278.98","35,572.20","34,659.41","35,243.48","35,821.92","35,866.65","25,660.00","19,184.79","22,293.34","21,919.52","32,999.86","33,863.64","36,365.52","32,541.06","927,029.42"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4940 - Av. Bento Gonçalves 6963 - C/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN4AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN4BP,Faixa 2 central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN4CP,Faixa 3 direita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Total
00:00:00 - 00:59:59,953.40,900.94,557.21,548.06,634.49,680.27,780.37,"1,000.40",895.38,548.40,600.48,620.85,680.62,722.43,868.57,940.08,561.58,557.70,586.86,703.93,717.27,815.11,661.38,437.40,495.76,448.76,902.29,576.35,877.11,"20,273.45"
01:00:00 - 01:59:59,573.09,639.59,316.22,307.49,324.87,388.33,409.02,618.09,592.65,340.56,285.74,339.88,363.68,378.03,566.12,629.59,328.21,312.53,323.34,353.99,391.72,540.67,405.68,254.40,321.42,296.60,344.36,329.03,537.45,"11,812.35"
02:00:00 - 02:59:59,393.19,426.88,171.77,169.58,211.76,211.92,292.86,436.68,412.43,188.74,182.93,176.09,194.76,216.93,392.88,439.52,174.61,162.77,169.57,210.57,245.27,350.90,284.42,180.59,195.41,178.79,154.60,169.61,361.54,"7,357.57"
03:00:00 - 03:59:59,271.25,307.92,83.81,86.30,89.97,121.29,171.45,326.92,332.07,106.30,96.16,124.79,121.45,119.46,250.59,381.07,105.47,86.82,87.97,120.13,140.79,235.59,204.58,121.63,119.96,91.49,80.13,105.28,269.40,"4,760.04"
04:00:00 - 04:59:59,286.28,299.94,131.13,150.79,156.45,165.11,192.94,309.25,316.46,140.14,128.45,163.95,170.62,186.61,304.43,302.93,143.31,131.31,166.46,192.95,160.94,321.30,192.61,128.80,119.30,145.14,140.47,146.97,281.92,"5,676.96"
05:00:00 - 05:59:59,456.23,322.14,328.25,327.74,324.78,354.60,360.26,447.06,379.43,318.11,286.93,300.11,362.91,337.59,380.25,373.75,333.28,297.08,287.27,355.77,350.41,570.09,277.44,227.44,186.60,299.79,323.78,326.59,361.94,"9,857.62"
06:00:00 - 06:59:59,749.75,532.78,783.12,728.55,740.13,748.42,799.48,797.26,510.08,763.42,768.90,762.27,761.29,807.41,725.26,518.34,858.26,816.14,788.30,805.45,818.46,895.65,476.02,459.51,388.34,716.35,760.75,770.23,617.48,"20,667.40"
07:00:00 - 07:59:59,"1,145.76",807.68,"1,682.04","1,665.56","1,713.65","1,687.32","1,670.52","1,271.91",918.57,"1,708.06","1,761.44","1,749.18","1,796.16","1,739.11","1,226.31",855.69,"1,846.55","1,942.35","1,895.17","1,881.01","1,854.40","1,280.57",863.18,963.66,770.00,"1,397.70","1,960.40","1,905.31","1,135.56","43,094.82"
08:00:00 - 08:59:59,"1,329.02",773.11,"1,514.48","1,601.29","1,609.66","1,699.43","1,620.86","1,502.48",744.89,"1,651.65","1,726.06","1,664.18","1,676.44","1,697.33","1,359.84",897.73,"1,650.23","1,762.32","1,697.79","1,724.98","1,748.02","1,258.59",729.36,902.94,619.88,"1,117.51","1,666.84","1,673.64","1,315.88","40,936.43"
09:00:00 - 09:59:59,"1,508.61",892.15,"1,600.16","1,653.77","1,579.50","1,619.59","1,723.37","1,622.75",762.90,"1,537.79","1,760.48","1,628.29","1,704.80","1,630.92","3,018.96","1,008.66","1,668.14","1,670.06","1,669.26","1,687.47","1,646.55","1,359.31",866.21,935.28,669.51,"1,123.95","1,581.68","1,612.75","1,546.12","43,288.99"
10:00:00 - 10:59:59,"1,710.97","1,252.05","1,633.50","1,676.05","1,735.20","1,814.39","1,838.32","1,901.86","1,206.81","1,713.91","1,670.93","1,777.44","1,747.11","1,792.46","1,822.65","1,249.11","1,759.41","1,694.07","1,797.93","1,733.58","1,794.28","1,596.13","1,064.28","1,123.57",875.52,"1,305.69","1,546.63","1,661.61","1,901.61","46,397.07"
11:00:00 - 11:59:59,"1,893.16","1,543.43","1,745.55","1,904.06","1,807.13","1,872.90","1,927.62","2,033.37","1,446.62","1,822.93","1,895.11","1,786.12","1,860.48","1,932.30","1,971.07","1,525.70","1,740.87","1,838.96","1,737.19","1,887.84","1,951.03","1,680.51","1,272.76","1,113.59","1,043.49","1,397.89","1,741.05","1,855.16","1,881.65","50,109.54"
12:00:00 - 12:59:59,"1,977.02","1,324.35","1,609.48","1,669.24","1,678.91","1,709.39","1,779.27","2,072.08","1,336.42","1,764.04","1,712.11","1,675.07","1,812.99","1,841.14","2,087.58","1,394.50","1,858.04","1,831.07","1,865.96","1,795.30","2,047.89","1,839.18","1,064.10","1,000.80",968.40,"1,479.78","1,824.80","1,929.10","2,187.59","49,135.60"
13:00:00 - 13:59:59,"1,899.41","1,063.70","1,556.91","1,605.28","1,617.16","1,673.68","1,875.94","1,974.72","1,191.41","1,654.52","1,710.63","1,751.62","1,681.66","1,821.00","2,059.90","1,299.97","1,773.19","1,647.91","1,665.99","1,773.85","2,070.43","1,748.26",855.74,"1,061.37",948.11,"1,808.72","1,823.56","1,896.55","1,988.25","47,499.44"
14:00:00 - 14:59:59,"1,879.39","1,035.20","1,773.11","1,746.73","1,970.04","1,813.41","2,064.82","1,909.98","1,177.70","1,861.92","1,843.61","1,797.92","1,936.59","2,119.93","2,000.50","1,189.38","1,905.55","1,961.32","1,920.67","1,912.01","2,208.18","1,688.95",912.42,"1,165.13","1,113.06","1,770.52","1,894.67","2,104.24","1,970.48","50,647.43"
15:00:00 - 15:59:59,"1,938.85","1,156.15","1,951.32","2,010.77","2,045.34","2,191.76","2,418.22","2,026.64","1,376.70","2,002.21","2,098.90","2,120.79","2,066.83","2,363.01","2,069.15","1,290.17","2,067.92","2,109.92","2,080.97","2,344.35","2,585.68","1,714.59",942.86,"1,254.49","1,186.68","1,912.59","2,103.79","2,219.39","2,071.19","55,721.23"
16:00:00 - 16:59:59,"1,936.25","1,264.83","2,422.95","2,504.63","2,495.43","2,392.57","2,922.33","2,080.38","1,418.07","2,503.29","2,518.43","2,485.63","2,487.08","2,798.49","2,078.48","1,407.16","2,551.59","2,516.37","2,495.64","2,525.13","2,959.55","1,820.34","1,082.38","1,403.60","1,281.50","2,193.87","2,414.39","2,800.91","2,138.00","63,899.27"
17:00:00 - 17:59:59,"2,111.60","1,418.73","2,996.07","3,217.08","3,043.58","3,109.81","3,161.45","2,203.08","1,579.41","3,072.15","3,059.83","3,068.51","3,107.99","3,252.76","1,773.46","1,498.83","2,939.12","3,142.45","3,072.64","3,126.81","3,313.97","1,655.50","1,154.73","1,607.26","1,469.41","3,022.69","3,132.79","3,229.78","2,194.56","74,736.05"
18:00:00 - 18:59:59,"2,074.56","1,552.14","3,349.49","3,416.51","3,426.53","3,314.30","3,355.87","1,911.77","1,743.60","3,248.11","3,426.06","3,391.84","3,379.16","3,445.25","1,786.27","1,616.77","2,961.85","3,315.35","3,375.27","3,456.03","3,325.46","1,708.51","1,358.53","1,677.98","1,533.09","3,336.10","3,269.68","3,397.67","2,223.08","79,376.83"
19:00:00 - 19:59:59,"2,136.04","1,808.28","3,061.35","2,960.37","3,346.28","3,254.36","3,322.13","2,360.59","2,063.27","3,118.16","3,085.97","3,228.93","3,130.19","3,388.94","2,553.46","2,044.44","2,921.47","3,026.85","3,320.13","3,291.76","3,191.52","1,935.27","1,597.49","1,718.87","1,651.30","2,697.82","3,085.44","3,268.12","2,362.53","78,931.33"
20:00:00 - 20:59:59,"1,859.05","1,704.69","1,966.70","2,083.32","2,192.10","2,201.07","2,706.53","1,944.46","1,860.94","2,133.67","1,842.35","2,051.17","2,218.63","2,502.71","2,127.68","1,882.77","1,972.31","2,079.39","2,287.05","2,426.60","2,353.09","1,517.67","1,298.29","1,198.23","1,335.39","1,748.43","1,916.64","2,333.14","1,934.07","57,678.14"
21:00:00 - 21:59:59,"1,562.31","1,421.67","1,405.17","1,500.59","1,628.49","1,643.09","1,880.06","1,608.05","1,454.66","1,583.19","1,611.29","1,550.65","1,593.71","1,847.94","1,537.53","1,532.17","1,503.72","1,539.14","1,623.28","1,804.92","1,834.46","1,195.22","1,020.92",926.96,920.67,"1,254.14","1,425.28","1,729.48","1,603.54","43,742.30"
22:00:00 - 22:59:59,"1,432.06","1,143.82","1,310.78","1,339.57","1,433.21","1,500.58","1,652.18","1,366.14","1,169.73","1,372.56","1,784.78","1,467.56","1,534.21","1,548.60","1,506.10","1,152.13","1,317.20","1,441.40","1,467.06","1,664.21","1,651.28","1,076.09",854.22,911.67,822.95,"1,037.72","1,372.41","1,628.42","1,387.37","39,346.01"
23:00:00 - 23:59:59,"1,004.90",792.12,870.63,912.01,950.96,"1,129.21","1,267.30","1,066.11",787.15,800.41,"1,019.50",972.02,"1,019.86","1,225.46","1,077.65",823.79,826.91,911.74,974.12,"1,050.98","1,260.97",862.80,535.27,700.26,765.05,765.35,843.99,"1,167.39","1,120.48","27,504.39"
Total,"33,082.15","24,384.29","34,821.20","35,785.34","36,755.62","37,296.80","40,193.17","34,792.03","25,677.35","35,954.24","36,877.07","36,654.86","37,409.22","39,715.81","35,544.69","26,254.25","35,768.79","36,795.02","37,355.89","38,829.62","40,621.62","29,666.80","19,974.87","21,475.43","19,800.80","31,547.39","36,310.42","38,836.72","34,268.80","972,450.26"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4941 - Av. Bento Gonçalves 4021 - C/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN5BP,Faixa 2 central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN5CP,Faixa 3 direita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Total
