Intervalo de Datas: 01/02/2020 00:00:00 a 29/02/2020 23:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4930 - Av. João de Oliveira Remião defronte nro 702 - C/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4BP,Faixa 2 direita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:00:00 - 17:59:59,864.43,665.78,"1,205.12","1,291.11","1,211.61","1,235.29","1,218.88",933.59,711.14,"1,263.56","1,260.66","1,242.86","1,207.50","1,254.64",756.30,666.96,"1,224.55","1,235.54","1,188.18","1,249.04","1,221.72",697.62,523.30,767.62,745.94,"1,276.22","1,210.97","1,243.31",948.92,"30,522.36"
18:00:00 - 18:59:59,946.26,735.96,"1,312.58","1,431.20","1,332.38","1,294.93","1,333.98",895.29,823.80,"1,332.50","1,376.05","1,318.00","1,360.00","1,384.00",811.11,738.80,"1,357.31","1,308.64","1,300.16","1,400.63","1,277.19",685.47,678.61,763.75,695.96,"1,407.35","1,342.14","1,354.13",960.10,"32,958.28"
19:00:00 - 19:59:59,917.37,813.90,"1,197.72","1,205.06","1,336.81","1,252.55","1,287.40","1,037.95",987.13,"1,270.25","1,264.73","1,336.88","1,219.08","1,348.20","1,017.59",933.91,"1,301.42","1,213.89","1,311.06","1,291.55","1,373.57",811.08,713.11,728.93,732.45,"1,101.41","1,236.20","1,295.71","1,029.10","32,566.01"
20:00:00 - 20:59:59,780.43,785.11,904.72,843.73,924.73,914.44,"1,045.88",874.46,853.94,909.76,796.95,870.59,881.94,942.79,882.44,877.11,822.11,865.78,949.40,951.75,878.22,645.95,507.60,521.30,688.82,681.43,791.96,941.11,878.47,"24,212.92"
21:00:00 - 21:59:59,709.43,727.45,650.75,699.24,697.58,742.10,770.94,745.63,682.62,629.11,651.44,686.62,653.96,720.93,722.63,759.27,662.78,654.28,687.27,739.28,783.26,525.95,469.97,473.14,456.81,544.93,530.10,648.23,727.95,"19,153.65"
22:00:00 - 22:59:59,587.46,602.14,564.27,572.76,631.43,639.63,702.10,601.81,550.64,629.94,689.44,632.46,668.28,656.95,688.11,584.30,546.30,617.45,589.28,676.90,683.75,455.63,420.81,424.13,436.97,507.78,569.12,681.78,607.31,"17,218.93"
23:00:00 - 23:59:59,461.30,403.29,380.95,415.61,435.42,497.63,505.29,525.15,368.14,367.98,441.29,310.58,449.96,536.48,489.31,396.46,392.64,397.14,405.48,473.44,468.81,381.97,266.48,358.97,367.32,339.14,355.80,493.61,442.76,"12,128.40"
Total,"13,749.38","11,300.72","14,974.54","15,065.66","15,613.12","15,460.55","16,148.89","15,095.21","11,997.36","15,328.61","15,408.25","15,083.74","15,384.61","15,930.51","15,226.24","12,207.03","15,251.29","15,234.38","15,418.95","15,851.92","16,205.88","11,889.83","8,917.22","9,917.29","9,911.45","14,248.75","14,993.98","15,722.23","14,509.29","412,046.88"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4930 - Av. João de Oliveira Remião nro 702 - B/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
