Intervalo de Datas: 01/03/2020 00:00:00 a 31/03/2020 23:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4930 - Av. João de Oliveira Remião defronte nro 702 - C/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4BP,Faixa 2 direita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:00:00 - 16:59:59,712.96,"1,020.44",988.75,"1,009.26","1,013.26","1,090.09",998.28,731.62,"1,013.09",966.45,975.61,978.42,"1,043.95",962.27,743.62,977.76,987.40,"1,013.25",984.23,"1,077.04",591.11,345.30,688.41,640.92,699.42,689.44,756.10,543.61,332.15,693.77,782.61,
17:00:00 - 17:59:59,825.63,"1,244.51","1,216.51","1,245.05","1,231.38","1,269.09","1,148.26",829.27,"1,242.88","1,303.88","1,188.23","1,235.01","1,282.03",898.94,881.14,"1,258.31","1,235.13","1,259.50","1,231.12","1,239.46",649.43,402.47,832.07,795.43,760.08,829.12,915.59,563.79,376.30,880.42,882.90,
18:00:00 - 18:59:59,848.11,"1,358.01","1,415.84","1,375.51","1,331.35","1,394.87","1,103.91",883.28,"1,297.36","1,365.17","1,278.53","1,342.47","1,308.53","1,013.93",860.60,"1,414.31","1,398.60","1,337.99","1,342.61","1,349.34",694.08,425.12,891.40,736.08,771.25,807.41,863.58,572.78,455.79,897.90,953.42,
19:00:00 - 19:59:59,978.77,"1,333.71","1,389.16","1,326.52","1,336.05","1,315.72","1,110.26",984.09,"1,341.06","1,355.58","1,285.22","1,060.98","1,279.88","1,058.41",956.78,"1,287.37","1,250.50","1,248.53","1,046.03","1,040.70",646.45,518.93,651.42,581.42,610.09,629.44,666.77,637.45,527.30,687.38,764.28,
20:00:00 - 20:59:59,882.44,"1,011.11",926.27,968.60,"1,079.95","1,204.61",955.42,920.27,"1,055.76",923.78,"1,003.43",815.17,"1,198.06",921.77,740.96,735.05,873.74,695.46,655.94,715.76,487.46,337.98,399.30,403.13,390.47,420.48,505.78,480.81,385.31,445.64,502.46,
21:00:00 - 21:59:59,739.30,467.27,591.59,662.78,755.43,860.42,822.46,765.63,747.78,743.61,738.78,697.43,889.27,729.81,668.80,513.11,532.78,482.98,441.61,478.12,236.12,215.14,299.46,239.15,270.65,308.31,314.30,305.97,248.99,303.98,325.31,
22:00:00 - 22:59:59,491.61,601.92,533.57,664.78,600.27,847.93,805.47,623.65,687.61,706.75,721.45,556.64,799.92,706.13,486.47,475.78,464.28,392.47,360.80,357.94,282.29,151.30,246.46,195.31,229.62,209.14,258.81,234.98,186.15,228.82,238.48,
23:00:00 - 23:59:59,328.63,394.46,395.64,453.13,498.95,589.79,575.14,425.64,395.81,449.13,421.46,458.80,572.29,623.95,345.62,256.96,311.97,278.81,248.48,221.62,207.49,123.81,150.65,145.97,128.65,149.64,203.66,200.14,149.99,159.32,166.82,
Total,"12,412.28","15,656.31","15,739.68","16,178.91","16,186.30","17,263.29","16,782.64","14,073.24","15,917.44","16,051.82","16,146.87","15,327.08","17,168.13","15,587.39","12,606.21","14,796.55","15,116.01","14,550.16","13,785.74","14,252.07","9,874.80","5,818.13","10,135.26","8,983.14","9,307.34","9,471.48","10,275.35","8,403.68","5,879.44","9,907.56","10,491.95",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4930 - Av. João de Oliveira Remião nro 702 - B/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4EP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4FP,Faixa 2 direita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
00:00:00 - 00:59:59,329.77,167.95,196.81,207.61,212.13,236.12,380.79,410.43,178.64,208.29,218.29,233.60,275.62,346.11,419.43,156.80,168.63,172.48,149.63,176.14,177.12,159.14,68.81,114.13,111.15,94.97,117.82,119.80,149.63,71.81,117.97,
01:00:00 - 01:59:59,241.64,101.14,90.16,121.15,108.82,150.83,240.97,340.95,119.48,102.49,122.33,127.65,167.16,199.62,289.46,94.14,78.33,121.33,84.64,98.65,101.65,99.97,41.16,48.16,71.82,74.83,60.66,74.32,94.65,50.82,80.31,
02:00:00 - 02:59:59,181.63,80.14,67.49,70.99,53.49,75.15,143.65,253.28,60.15,65.99,71.49,54.49,83.16,130.32,208.46,46.49,60.66,60.99,42.65,59.16,81.48,49.15,19.16,49.82,38.15,28.33,37.47,49.13,64.49,26.49,23.15,
03:00:00 - 03:59:59,123.82,65.16,50.49,66.49,64.49,69.15,112.48,161.49,56.66,46.82,57.66,56.32,72.49,105.65,170.16,56.66,49.82,49.15,41.16,40.65,58.16,40.50,36.82,32.65,39.49,40.99,36.33,54.32,49.33,38.82,44.33,
