data,equipamento,endereco,horario,volume
2020-02-01,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,342.3
2020-02-02,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,328.6
2020-02-03,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,181.5
2020-02-04,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,191.5
2020-02-05,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,255.0
2020-02-06,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,253.3
2020-02-07,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,292.2
2020-02-08,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,0
2020-02-09,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,387.5
2020-02-10,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,234.6
2020-02-11,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,222.5
2020-02-12,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,213.1
2020-02-13,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,261.8
2020-02-14,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,267.0
2020-02-15,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,341.3
2020-02-16,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,354.4
2020-02-17,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,239.1
2020-02-18,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,189.5
2020-02-19,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,212.0
2020-02-20,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,256.6
2020-02-21,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,280.0
2020-02-22,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,278.0
2020-02-23,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,244.5
2020-02-24,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,155.8
2020-02-25,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,186.6
2020-02-26,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,209.7
2020-02-27,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,234.8
2020-02-28,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,216.3
2020-02-29,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,336.3
2020-02-01,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,217.5
2020-02-02,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,237.8
2020-02-03,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,93.5
2020-02-04,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,96.5
2020-02-05,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,117.0
2020-02-06,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,141.8
2020-02-07,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,184.5
2020-02-08,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,0
2020-02-09,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,235.7
2020-02-10,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,147.7
2020-02-11,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,87.5
2020-02-12,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,134.7
2020-02-13,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,122.3
2020-02-14,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,130.7
2020-02-15,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,237.6
2020-02-16,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,274.2
2020-02-17,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,144.5
2020-02-18,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,113.8
2020-02-19,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,116.5
2020-02-20,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,132.0
2020-02-21,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,129.7
2020-02-22,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,177.0
2020-02-23,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,160.3
