data,equipamento,endereco,horario,volume
2020-03-17,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,01:00:00 - 01:59:59,129.33
2020-03-18,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,01:00:00 - 01:59:59,111.31
2020-03-19,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,01:00:00 - 01:59:59,93.49
2020-03-20,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,01:00:00 - 01:59:59,86.82
2020-03-21,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,01:00:00 - 01:59:59,125.99
2020-03-22,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,01:00:00 - 01:59:59,84.82
2020-03-23,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,01:00:00 - 01:59:59,48.00
2020-03-24,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,01:00:00 - 01:59:59,58.49
2020-03-25,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,01:00:00 - 01:59:59,93.49
2020-03-26,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,01:00:00 - 01:59:59,59.16
2020-03-27,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,01:00:00 - 01:59:59,50.16
2020-03-28,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,01:00:00 - 01:59:59,102.48
2020-03-29,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,01:00:00 - 01:59:59,101.16
2020-03-30,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,01:00:00 - 01:59:59,68.33
2020-03-31,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,01:00:00 - 01:59:59,62.83
2020-03-01,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,204.99
2020-03-02,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,75.16
2020-03-03,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,61.83
2020-03-04,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,87.16
2020-03-05,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,75.83
2020-03-06,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,112.83
2020-03-07,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,206.66
2020-03-08,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,308.49
2020-03-09,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,68.99
2020-03-10,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,80.16
2020-03-11,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,77.49
2020-03-12,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,82.16
2020-03-13,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,141.49
2020-03-14,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,185.66
2020-03-15,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,246.32
2020-03-16,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,59.50
2020-03-17,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,56.83
2020-03-18,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,73.66
2020-03-19,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,52.50
2020-03-20,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,65.16
2020-03-21,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,56.00
2020-03-22,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,57.83
2020-03-23,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,18.00
2020-03-24,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,37.16
2020-03-25,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,28.50
2020-03-26,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,43.50
2020-03-27,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,41.82
2020-03-28,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,48.33
2020-03-29,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,67.83
2020-03-30,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,33.50
2020-03-31,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,30.00
2020-03-01,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,149.50
2020-03-02,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,41.00
2020-03-03,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,32.16
2020-03-04,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,52.33
2020-03-05,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,63.00
2020-03-06,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,50.83
2020-03-07,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,137.33
2020-03-08,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,209.00
2020-03-09,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,45.00
