data,equipamento,endereco,horario,volume
2020-04-01,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,139.1
2020-04-02,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,116.7
2020-04-03,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,104.5
2020-04-04,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,131.5
2020-04-05,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,163.3
2020-04-06,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,87.0
2020-04-07,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,102.8
2020-04-08,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,129.1
2020-04-09,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,106.8
2020-04-10,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,148.2
2020-04-11,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,130.3
2020-04-12,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,170.2
2020-04-13,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,122.5
2020-04-14,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,116.0
2020-04-15,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,95.5
2020-04-16,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,104.0
2020-04-17,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,124.5
2020-04-18,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,142.8
2020-04-19,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,178.3
2020-04-20,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,126.5
2020-04-21,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,116.2
2020-04-22,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,121.8
2020-04-23,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,108.1
2020-04-24,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,146.0
2020-04-25,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,142.6
2020-04-26,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,230.3
2020-04-27,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,111.5
2020-04-28,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,0
2020-04-29,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,0
2020-04-30,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",00:00 - 01:00,0
2020-04-01,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,69.5
2020-04-02,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,65.0
2020-04-03,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,59.8
2020-04-04,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,79.8
2020-04-05,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,87.0
2020-04-06,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,51.5
2020-04-07,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,62.0
2020-04-08,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,54.7
2020-04-09,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,68.3
2020-04-10,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,81.2
2020-04-11,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,84.7
2020-04-12,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,102.3
2020-04-13,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,62.3
2020-04-14,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,54.5
2020-04-15,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,34.2
2020-04-16,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,54.3
2020-04-17,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,50.3
2020-04-18,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,97.3
2020-04-19,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,125.5
2020-04-20,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,77.5
2020-04-21,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,77.5
2020-04-22,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,71.5
2020-04-23,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,54.3
2020-04-24,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,84.0
2020-04-25,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,99.5
2020-04-26,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,167.8
2020-04-27,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,83.3
2020-04-28,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,0
2020-04-29,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,0
2020-04-30,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",01:00 - 02:00,0
2020-04-01,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",02:00 - 03:00,42.3
2020-04-02,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",02:00 - 03:00,43.3
2020-04-03,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",02:00 - 03:00,44.3
2020-04-04,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",02:00 - 03:00,64.2
2020-04-05,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",02:00 - 03:00,80.5
2020-04-06,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",02:00 - 03:00,28.8
2020-04-07,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",02:00 - 03:00,25.3
2020-04-08,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",02:00 - 03:00,29.2
2020-04-09,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",02:00 - 03:00,38.0
2020-04-10,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",02:00 - 03:00,52.7
2020-04-11,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",02:00 - 03:00,39.7
2020-04-12,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",02:00 - 03:00,63.3
2020-04-13,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",02:00 - 03:00,48.0
2020-04-14,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",02:00 - 03:00,24.5
2020-04-15,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",02:00 - 03:00,34.3
2020-04-16,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",02:00 - 03:00,31.8
2020-04-17,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",02:00 - 03:00,32.2
2020-04-18,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",02:00 - 03:00,52.8
2020-04-19,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",02:00 - 03:00,84.3
2020-04-20,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",02:00 - 03:00,41.5
2020-04-21,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",02:00 - 03:00,51.8
2020-04-22,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",02:00 - 03:00,34.7
2020-04-23,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",02:00 - 03:00,35.2
2020-04-24,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",02:00 - 03:00,38.8
2020-04-25,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",02:00 - 03:00,65.5
2020-04-26,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",02:00 - 03:00,109.3
2020-04-27,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",02:00 - 03:00,35.8
2020-04-28,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",02:00 - 03:00,0
2020-04-29,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",02:00 - 03:00,0
2020-04-30,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",02:00 - 03:00,0
2020-04-01,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",03:00 - 04:00,29.7
2020-04-02,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",03:00 - 04:00,36.3
2020-04-03,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",03:00 - 04:00,23.8
2020-04-04,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",03:00 - 04:00,52.0
2020-04-05,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",03:00 - 04:00,48.7
2020-04-06,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",03:00 - 04:00,31.0
2020-04-07,ANT3AL,"AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",03:00 - 04:00,24.0
