data,equipamento,endereco,horario,volume
2020-05-01,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,216.31
2020-05-02,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,156.66
2020-05-03,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,198.66
2020-05-04,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,116.50
2020-05-05,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,129.83
2020-05-06,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,151.65
2020-05-07,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,131.49
2020-05-08,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,162.16
2020-05-09,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,212.66
2020-05-10,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,218.16
2020-05-11,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,164.50
2020-05-12,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,88.64
2020-05-13,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,145.98
2020-05-14,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,155.33
2020-05-15,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,155.33
2020-05-16,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,202.49
2020-05-17,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,231.66
2020-05-18,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,125.99
