date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-06-24,RS,Rondinha,city,2,0,True,5130,4316204,38.98635,0.0
2020-06-24,RS,Roque Gonzales,city,4,0,True,6847,4316303,58.41975,0.0
2020-06-24,RS,Rosário do Sul,city,3,0,True,39422,4316402,7.60996,0.0
2020-06-24,RS,Sagrada Família,city,2,0,True,2609,4316428,76.65772,0.0
2020-06-24,RS,Saldanha Marinho,city,37,4,True,2650,4316436,1396.22642,0.1081
2020-06-24,RS,Salto do Jacuí,city,25,0,True,12449,4316451,200.81934,0.0
2020-06-24,RS,Salvador do Sul,city,3,0,True,7799,4316501,38.46647,0.0
2020-06-24,RS,Sananduva,city,32,0,True,16270,4316600,196.68101,0.0
2020-06-24,RS,Santa Bárbara do Sul,city,3,0,True,7994,4316709,37.52815,0.0
2020-06-24,RS,Santa Cecília do Sul,city,14,0,True,1639,4316733,854.17938,0.0
2020-06-24,RS,Santa Clara do Sul,city,23,0,True,6603,4316758,348.32652,0.0
2020-06-24,RS,Santa Cruz do Sul,city,130,1,True,130416,4316808,99.68102,0.0077
2020-06-24,RS,Santa Maria,city,514,15,True,282123,4316907,182.19004,0.0292
2020-06-24,RS,Santa Maria do Herval,city,11,0,True,6331,4316956,173.74822,0.0
2020-06-24,RS,Sant'Ana do Livramento,city,106,2,True,77027,4317103,137.61408,0.0189
2020-06-24,RS,Santa Rosa,city,69,2,True,73254,4317202,94.19281,0.029
2020-06-24,RS,Santa Tereza,city,12,1,True,1729,4317251,694.0428,0.0833
2020-06-24,RS,Santa Vitória do Palmar,city,17,0,True,29676,4317301,57.28535,0.0
2020-06-24,RS,Santiago,city,75,0,True,49425,4317400,151.74507,0.0
2020-06-24,RS,Santo Ângelo,city,151,12,True,77593,4317509,194.60518,0.0795
2020-06-24,RS,Santo Antônio da Patrulha,city,34,1,True,42894,4317608,79.26517,0.0294
2020-06-24,RS,Santo Antônio do Palma,city,13,0,True,2128,4317558,610.90226,0.0
2020-06-24,RS,Santo Augusto,city,2,1,True,13885,4317806,14.40403,0.5
2020-06-24,RS,Santo Cristo,city,2,0,True,14257,4317905,14.0282,0.0
2020-06-24,RS,São Borja,city,35,2,True,60282,4318002,58.06045,0.0571
2020-06-24,RS,São Domingos do Sul,city,13,0,True,3074,4318051,422.90176,0.0
2020-06-24,RS,São Francisco de Assis,city,4,1,True,18335,4318101,21.8162,0.25
2020-06-24,RS,São Francisco de Paula,city,13,0,True,21710,4318200,59.88024,0.0
2020-06-24,RS,São Gabriel,city,190,8,True,62105,4318309,305.9335,0.0421
2020-06-24,RS,São Jerônimo,city,32,1,True,24248,4318408,131.96965,0.0312
2020-06-24,RS,São João da Urtiga,city,3,0,True,4657,4318424,64.41915,0.0
2020-06-24,RS,São Jorge,city,13,0,True,2824,4318440,460.33994,0.0
2020-06-24,RS,São José das Missões,city,1,0,True,2537,4318457,39.41663,0.0
2020-06-24,RS,São José do Herval,city,12,0,True,1971,4318465,608.82801,0.0
2020-06-24,RS,São José do Hortêncio,city,6,0,True,4804,4318481,124.89592,0.0
2020-06-24,RS,São José do Norte,city,8,0,True,27568,4318507,29.01915,0.0
2020-06-24,RS,São José do Ouro,city,1,0,True,6933,4318606,14.42377,0.0
2020-06-24,RS,São José do Sul,city,2,0,True,2408,4318614,83.05648,0.0
2020-06-24,RS,São Leopoldo,city,585,9,True,236835,4318705,247.00741,0.0154
2020-06-24,RS,São Lourenço do Sul,city,14,0,True,43582,4318804,32.12335,0.0
2020-06-24,RS,São Luiz Gonzaga,city,12,0,True,33468,4318903,35.85515,0.0
2020-06-24,RS,São Marcos,city,42,0,True,21556,4319000,194.84134,0.0
2020-06-24,RS,São Martinho,city,10,0,True,5426,4319109,184.29783,0.0
2020-06-24,RS,São Martinho da Serra,city,5,0,True,3234,4319125,154.6073,0.0
2020-06-24,RS,São Paulo das Missões,city,1,0,True,5790,4319307,17.27116,0.0
2020-06-24,RS,São Pedro da Serra,city,11,0,True,3801,4319356,289.39753,0.0
2020-06-24,RS,São Pedro do Sul,city,1,0,True,16198,4319406,6.1736,0.0
2020-06-24,RS,São Sebastião do Caí,city,53,1,True,25685,4319505,206.34612,0.0189
2020-06-24,RS,São Sepé,city,46,1,True,23621,4319604,194.74197,0.0217
2020-06-24,RS,São Valentim,city,24,1,True,3299,4319703,727.49318,0.0417
2020-06-24,RS,São Valentim do Sul,city,3,0,True,2242,4319711,133.8091,0.0
2020-06-24,RS,São Valério do Sul,city,1,0,True,2727,4319737,36.67033,0.0
2020-06-24,RS,São Vendelino,city,5,0,True,2243,4319752,222.91574,0.0
2020-06-24,RS,São Vicente do Sul,city,1,1,True,8721,4319802,11.46657,1.0
2020-06-24,RS,Sapiranga,city,47,1,True,81734,4319901,57.50361,0.0213
2020-06-24,RS,Sapucaia do Sul,city,265,10,True,141075,4320008,187.84335,0.0377
2020-06-24,RS,Sarandi,city,57,1,True,24489,4320107,232.75756,0.0175
2020-06-24,RS,Seberi,city,10,1,True,10750,4320206,93.02326,0.1
2020-06-24,RS,Selbach,city,3,0,True,5100,4320305,58.82353,0.0
2020-06-24,RS,Serafina Corrêa,city,169,1,True,17502,4320404,965.60393,0.0059
2020-06-24,RS,Sério,city,4,0,True,1962,4320453,203.8736,0.0
2020-06-24,RS,Sertão,city,31,1,True,5415,4320503,572.48384,0.0323
2020-06-24,RS,Sertão Santana,city,1,0,True,6486,4320552,15.41782,0.0
2020-06-24,RS,Soledade,city,41,1,True,31002,4320800,132.24953,0.0244
2020-06-24,RS,Tabaí,city,12,0,True,4719,4320859,254.29116,0.0
2020-06-24,RS,Tapejara,city,139,0,True,24111,4320909,576.50035,0.0
2020-06-24,RS,Tapera,city,7,0,True,10584,4321006,66.13757,0.0
2020-06-24,RS,Tapes,city,1,0,True,17300,4321105,5.78035,0.0
2020-06-24,RS,Taquara,city,16,0,True,57466,4321204,27.84255,0.0
2020-06-24,RS,Taquari,city,143,2,True,26862,4321303,532.35053,0.014
2020-06-24,RS,Tenente Portela,city,22,0,True,13485,4321402,163.14423,0.0
2020-06-24,RS,Terra de Areia,city,25,0,True,11204,4321436,223.13459,0.0
2020-06-24,RS,Teutônia,city,242,0,True,33232,4321451,728.21377,0.0
2020-06-24,RS,Tio Hugo,city,4,1,True,3030,4321469,132.0132,0.25
2020-06-24,RS,Tiradentes do Sul,city,13,2,True,5704,4321477,227.91024,0.1538
2020-06-24,RS,Torres,city,62,1,True,38732,4321501,160.07436,0.0161
2020-06-24,RS,Tramandaí,city,50,3,True,51715,4321600,96.68375,0.06
2020-06-24,RS,Travesseiro,city,2,0,True,2336,4321626,85.61644,0.0
2020-06-24,RS,Três Arroios,city,5,0,True,2668,4321634,187.4063,0.0
2020-06-24,RS,Três Cachoeiras,city,41,1,True,11053,4321667,370.94002,0.0244
2020-06-24,RS,Três de Maio,city,5,0,True,23906,4321808,20.91525,0.0
2020-06-24,RS,Três Forquilhas,city,4,0,True,2697,4321832,148.31294,0.0
2020-06-24,RS,Três Palmeiras,city,34,0,True,4271,4321857,796.06649,0.0
2020-06-24,RS,Três Passos,city,188,2,True,23906,4321907,786.41345,0.0106
2020-06-24,RS,Trindade do Sul,city,63,2,True,5802,4321956,1085.83247,0.0317
2020-06-24,RS,Triunfo,city,52,1,True,29538,4322004,176.04442,0.0192
2020-06-24,RS,Tucunduva,city,1,0,True,5678,4322103,17.61184,0.0
2020-06-24,RS,Tunas,city,14,2,True,4569,4322152,306.41278,0.1429
2020-06-24,RS,Tupanciretã,city,11,1,True,23948,4322202,45.93285,0.0909
2020-06-24,RS,Tupandi,city,10,0,True,4855,4322251,205.97322,0.0
2020-06-24,RS,Unistalda,city,2,0,True,2338,4322376,85.5432,0.0
2020-06-24,RS,Uruguaiana,city,69,0,True,126970,4322400,54.34355,0.0
2020-06-24,RS,Vacaria,city,121,6,True,66218,4322509,182.72977,0.0496
2020-06-24,RS,Vale Real,city,1,0,True,5913,4322541,16.91189,0.0
2020-06-24,RS,Vale Verde,city,12,0,True,3497,4322525,343.15127,0.0
2020-06-24,RS,Vanini,city,4,0,True,2113,4322558,189.30431,0.0
2020-06-24,RS,Venâncio Aires,city,250,7,True,71554,4322608,349.38648,0.028
2020-06-24,RS,Vera Cruz,city,4,0,True,26863,4322707,14.89037,0.0
2020-06-24,RS,Veranópolis,city,72,0,True,26241,4322806,274.37979,0.0
2020-06-24,RS,Vespasiano Corrêa,city,7,0,True,1815,4322855,385.67493,0.0
2020-06-24,RS,Viadutos,city,5,1,True,4756,4322905,105.13036,0.2
2020-06-24,RS,Viamão,city,125,13,True,255224,4323002,48.97659,0.104
2020-06-24,RS,Victor Graeff,city,4,0,True,2882,4323200,138.79251,0.0
2020-06-24,RS,Vila Flores,city,12,0,True,3385,4323309,354.50517,0.0
2020-06-24,RS,Vila Lângaro,city,5,0,True,2091,4323358,239.12004,0.0
2020-06-24,RS,Vila Maria,city,27,1,True,4358,4323408,619.55025,0.037
2020-06-24,RS,Vila Nova do Sul,city,12,0,True,4280,4323457,280.37383,0.0
2020-06-24,RS,Vista Alegre do Prata,city,3,0,True,1561,4323606,192.1845,0.0
2020-06-24,RS,Vista Gaúcha,city,3,0,True,2851,4323705,105.22624,0.0
2020-06-24,RS,Vitória das Missões,city,1,0,True,3133,4323754,31.91829,0.0
2020-06-24,RS,Westfália,city,41,0,True,3014,4323770,1360.31851,0.0
2020-06-24,RS,Xangri-lá,city,9,1,True,16408,4323804,54.85129,0.1111
