2020-04-18,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,01:00:00 - 01:59:59,113.33
2020-04-19,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,01:00:00 - 01:59:59,130.66
2020-04-20,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,01:00:00 - 01:59:59,81.99
2020-04-21,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,01:00:00 - 01:59:59,98.33
2020-04-22,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,01:00:00 - 01:59:59,77.49
2020-04-23,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,01:00:00 - 01:59:59,83.50
2020-04-24,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,01:00:00 - 01:59:59,109.66
2020-04-25,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,01:00:00 - 01:59:59,110.33
2020-04-26,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,01:00:00 - 01:59:59,113.14
2020-04-27,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,01:00:00 - 01:59:59,52.49
2020-04-28,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,01:00:00 - 01:59:59,61.99
2020-04-29,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,01:00:00 - 01:59:59,91.66
2020-04-30,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,01:00:00 - 01:59:59,46.16
2020-04-01,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,38.83
2020-04-02,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,27.33
2020-04-03,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,43.00
2020-04-04,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,46.00
2020-04-05,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,67.33
2020-04-06,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,34.66
