Relatório de Fluxo de Hora em Hora por Dia do Mês e UVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Endereço: AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código da Faixa: ANT3AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Período: 01/05/2020 até 18/05/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento,Periodo,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total
Relatório de Fluxo de Hora em Hora por Dia do Mês e UVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Endereço: AV. ANTONIO DE CARVALHO A 10M DO Nº 2079, S/N, FAIXA 2 DIREITA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código da Faixa: ANT4FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Período: 01/05/2020 até 18/05/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento,Periodo,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total
ANT4FL,00:00 - 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT4FL,01:00 - 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT4FL,02:00 - 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT4FL,03:00 - 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT4FL,04:00 - 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT4FL,05:00 - 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT4FL,06:00 - 07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT4FL,07:00 - 08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT4FL,08:00 - 09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT4FL,09:00 - 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT4FL,10:00 - 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT4FL,11:00 - 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT4FL,12:00 - 13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT4FL,13:00 - 14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT4FL,14:00 - 15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT4FL,15:00 - 16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT4FL,16:00 - 17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT4FL,17:00 - 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT4FL,18:00 - 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT4FL,19:00 - 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT4FL,20:00 - 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT4FL,21:00 - 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT4FL,22:00 - 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT4FL,23:00 - 24:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT4FL,Total grupo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Relatório de Fluxo de Hora em Hora por Dia do Mês e UVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Endereço: AV. BALTAZAR DE OLIVEIRA GARCIA 1981, C/B, FAIXA 1 ESQUERDA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código da Faixa: BAL1AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Período: 01/05/2020 até 18/05/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento,Periodo,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total
BAL1AL,00:00 - 01:00,"124,1","108,4","129,6","73,3","93,1","92,3","96,9","117,9","126,5","138,3","83,6","91,6","102,8","102,9","96,1","123,2","132,4","99,3",0,0,0,0,0,0,0,0,0,0,0,0,0,"1.932,3"
BAL1AL,01:00 - 02:00,"90,5","70,3","72,0","49,5","59,5","47,0","52,7","54,0","92,2","80,7","49,1","42,8","49,2","82,0","57,8","76,7","88,1","57,6",0,0,0,0,0,0,0,0,0,0,0,0,0,"1.171,5"
BAL1AL,02:00 - 03:00,"53,8","44,2","58,0","20,0","34,5","33,0","42,0","42,2","72,6","64,7","26,7","23,7","32,7","38,3","38,0","54,3","57,3","31,2",0,0,0,0,0,0,0,0,0,0,0,0,0,"767,0"
BAL1AL,03:00 - 04:00,"45,3","27,8","41,7","23,0","27,7","27,3","26,3","30,3","52,8","42,3","30,3","25,5","31,8","30,5","27,0","48,3","67,8","29,3",0,0,0,0,0,0,0,0,0,0,0,0,0,"635,2"
BAL1AL,04:00 - 05:00,"31,8","33,2","32,0","23,5","24,0","23,3","23,7","27,7","52,5","32,3","20,3","24,0","26,3","25,2","27,5","35,7","42,0","19,8",0,0,0,0,0,0,0,0,0,0,0,0,0,"524,7"
BAL1AL,05:00 - 06:00,"45,3","54,3","42,2","59,3","64,3","62,6","60,2","64,0","54,7","46,5","55,3","78,5","67,7","60,3","58,5","57,0","52,7","59,8",0,0,0,0,0,0,0,0,0,0,0,0,0,"1.043,1"
BAL1AL,06:00 - 07:00,"103,5","116,3","83,3","156,5","160,8","133,3","153,5","150,1","114,8","92,6","164,1","173,3","168,6","160,0","146,5","118,0","94,3","158,5",0,0,0,0,0,0,0,0,0,0,0,0,0,"2.448,0"
BAL1AL,07:00 - 08:00,"234,1","248,5","181,6","431,6","407,5","404,3","394,9","421,9","254,8","190,6","410,3","455,6","429,5","404,6","398,5","275,0","178,1","406,8",0,0,0,0,0,0,0,0,0,0,0,0,0,"6.128,0"
BAL1AL,08:00 - 09:00,"234,3","302,5","118,0","516,4","496,9","479,1","471,8","556,3","333,5","167,0","504,6","545,0","491,0","482,1","465,6","292,3","124,3","494,1",0,0,0,0,0,0,0,0,0,0,0,0,0,"7.074,7"
BAL1AL,09:00 - 10:00,"265,6","377,6","139,2","498,3","488,8","506,9","459,9","579,6","473,8","247,0","524,8","534,8","542,1","488,9","533,8","390,1","159,7","449,1",0,0,0,0,0,0,0,0,0,0,0,0,0,"7.660,0"
BAL1AL,10:00 - 11:00,"281,6","432,9","234,3","628,3","615,9","589,8","545,4","631,9","601,1","454,1","532,4","599,6","568,0","453,8","560,9","454,8","261,6","515,4",0,0,0,0,0,0,0,0,0,0,0,0,0,"8.961,8"
BAL1AL,11:00 - 12:00,"366,8","554,8","317,5","619,0","655,1","591,1","635,2","651,6","575,2","628,8","615,2","589,3","598,3","612,9","589,2","627,3","346,6","591,6",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.165,3"
BAL1AL,12:00 - 13:00,"364,4","546,0","282,1","661,2","561,2","559,9","624,9","524,0","673,8","474,3","566,9","499,8","556,4","486,9","596,0","667,7","325,1","604,4",0,0,0,0,0,0,0,0,0,0,0,0,0,"9.574,9"
BAL1AL,13:00 - 14:00,"346,8","525,7","261,3","601,1","564,2","597,0","551,7","621,0","652,9","331,3","572,7","602,6","598,4","582,7","579,7","584,9","279,1","604,2",0,0,0,0,0,0,0,0,0,0,0,0,0,"9.457,2"
BAL1AL,14:00 - 15:00,"350,4","499,9","230,8","710,3","648,0","613,2","626,8","645,3","638,2","261,6","662,5","673,9","653,0","606,9","715,9","540,4","279,8","582,3",0,0,0,0,0,0,0,0,0,0,0,0,0,"9.939,2"
BAL1AL,15:00 - 16:00,"448,1","575,4","302,9","803,0","631,9","696,0","802,0","725,7","567,2","367,9","721,7","724,4","708,7","718,9","753,0","530,9","325,9","704,5",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.108,0"
BAL1AL,16:00 - 17:00,"478,2","595,1","351,3","870,8","753,9","696,2","668,0","823,2","723,9","440,4","715,3","624,4","829,3","756,2","813,7","663,5","375,3","789,2",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.967,8"
BAL1AL,17:00 - 18:00,"500,9","611,6","400,1","832,9","889,4","738,3","663,9","796,1","662,1","517,8","588,6","737,7","775,2","831,6","601,7","665,1","426,8","838,9",0,0,0,0,0,0,0,0,0,0,0,0,0,"12.078,5"
BAL1AL,18:00 - 19:00,"460,9","615,9","466,2","908,9","787,8","574,8","618,3","647,8","724,9","527,3","532,0","705,9","693,5","541,5","695,2","630,4","485,1","601,8",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.218,0"
BAL1AL,19:00 - 20:00,"502,1","537,2","453,7","519,2","502,7","461,2","501,0","667,3","610,2","513,1","629,0","592,6","578,0","565,8","556,4","507,0","510,6","524,5",0,0,0,0,0,0,0,0,0,0,0,0,0,"9.731,6"
BAL1AL,20:00 - 21:00,"350,1","370,9","327,4","350,7","403,1","440,0","447,7","552,0","383,4","385,1","391,6","387,7","435,6","389,6","459,7","386,2","294,9","363,2",0,0,0,0,0,0,0,0,0,0,0,0,0,"7.118,7"
BAL1AL,21:00 - 22:00,"267,8","237,5","224,2","247,4","271,2","269,4","289,6","372,4","371,4","252,1","227,8","269,7","271,7","266,4","327,6","324,7","236,5","262,7",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.990,0"
BAL1AL,22:00 - 23:00,"186,5","239,0","169,6","200,2","217,9","227,9","258,7","267,2","240,2","189,6","184,7","192,9","220,1","221,2","236,7","207,7","164,4","215,1",0,0,0,0,0,0,0,0,0,0,0,0,0,"3.839,5"
BAL1AL,23:00 - 24:00,"161,0","168,0","114,6","137,1","157,7","180,1","151,5","202,0","180,2","129,1","135,2","145,7","161,4","174,9","184,0","167,7","136,1","125,7",0,0,0,0,0,0,0,0,0,0,0,0,0,"2.811,9"
